"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	32	179406	17.8
	"Blount County, AL"	"01009"	11	57341	19.2 (Unreliable)
	"Calhoun County, AL"	"01015"	15	118363	12.7 (Unreliable)
	"DeKalb County, AL"	"01049"	14	70864	19.8 (Unreliable)
	"Escambia County, AL"	"01053"	17	38249	44.4 (Unreliable)
	"Etowah County, AL"	"01055"	15	104239	14.4 (Unreliable)
	"Houston County, AL"	"01069"	11	100500	10.9 (Unreliable)
	"Jefferson County, AL"	"01073"	95	658441	14.4
	"Lawrence County, AL"	"01079"	10	34315	29.1 (Unreliable)
	"Lee County, AL"	"01081"	11	138566	7.9 (Unreliable)
	"Limestone County, AL"	"01083"	12	81326	14.8 (Unreliable)
	"Madison County, AL"	"01089"	31	330856	9.4
	"Mobile County, AL"	"01097"	61	411994	14.8
	"Montgomery County, AL"	"01101"	12	227607	5.3 (Unreliable)
	"Morgan County, AL"	"01103"	31	118954	26.1
	"St. Clair County, AL"	"01115"	12	83009	14.5 (Unreliable)
	"Shelby County, AL"	"01117"	32	192708	16.6
	"Tuscaloosa County, AL"	"01125"	32	192792	16.6
	"Walker County, AL"	"01127"	32	67347	47.5
	"Anchorage Borough, AK"	"02020"	59	287677	20.5
	"Fairbanks North Star Borough, AK"	"02090"	20	95238	21.0
	"Kenai Peninsula Borough, AK"	"02122"	14	54796	25.5 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	19	86885	21.9 (Unreliable)
	"Cochise County, AZ"	"04003"	19	130081	14.6 (Unreliable)
	"Coconino County, AZ"	"04005"	17	133477	12.7 (Unreliable)
	"Gila County, AZ"	"04007"	12	53561	22.4 (Unreliable)
	"Maricopa County, AZ"	"04013"	566	3803779	14.9
	"Mohave County, AZ"	"04015"	53	199696	26.5
	"Navajo County, AZ"	"04017"	18	107571	16.7 (Unreliable)
	"Pima County, AZ"	"04019"	178	975580	18.2
	"Pinal County, AZ"	"04021"	47	349830	13.4
	"Yavapai County, AZ"	"04025"	44	211172	20.8
	"Yuma County, AZ"	"04027"	21	193714	10.8
	"Benton County, AR"	"05007"	29	216620	13.4
	"Craighead County, AR"	"05031"	20	95482	20.9
	"Crawford County, AR"	"05033"	19	61595	30.8 (Unreliable)
	"Faulkner County, AR"	"05045"	13	110813	11.7 (Unreliable)
	"Garland County, AR"	"05051"	19	95840	19.8 (Unreliable)
	"Pulaski County, AR"	"05119"	39	380053	10.3
	"Saline County, AR"	"05125"	12	105362	11.4 (Unreliable)
	"Sebastian County, AR"	"05131"	23	125116	18.4
	"Washington County, AR"	"05143"	15	199774	7.5 (Unreliable)
	"White County, AR"	"05145"	11	76284	14.4 (Unreliable)
	"Alameda County, CA"	"06001"	147	1498539	9.8
	"Amador County, CA"	"06005"	14	38238	36.6 (Unreliable)
	"Butte County, CA"	"06007"	59	219777	26.8
	"Calaveras County, CA"	"06009"	13	45900	28.3 (Unreliable)
	"Contra Costa County, CA"	"06013"	96	1037890	9.2
	"El Dorado County, CA"	"06017"	40	180455	22.2
	"Fresno County, CA"	"06019"	113	921478	12.3
	"Humboldt County, CA"	"06023"	42	133744	31.4
	"Imperial County, CA"	"06025"	14	172008	8.1 (Unreliable)
	"Kern County, CA"	"06029"	132	830137	15.9
	"Lake County, CA"	"06033"	29	64413	45.0
	"Los Angeles County, CA"	"06037"	770	9787400	7.9
	"Marin County, CA"	"06041"	33	250862	13.2
	"Mendocino County, CA"	"06045"	16	87722	18.2 (Unreliable)
	"Merced County, CA"	"06047"	22	252302	8.7
	"Monterey County, CA"	"06053"	37	410263	9.0
	"Napa County, CA"	"06055"	14	135280	10.3 (Unreliable)
	"Nevada County, CA"	"06057"	16	98591	16.2 (Unreliable)
	"Orange County, CA"	"06059"	336	2987177	11.2
	"Placer County, CA"	"06061"	41	343810	11.9
	"Riverside County, CA"	"06065"	238	2146725	11.1
	"Sacramento County, CA"	"06067"	246	1408601	17.5
