"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	12	151509	7.9 (Unreliable)
	"Etowah County, AL"	"01055"	10	103025	9.7 (Unreliable)
	"Jefferson County, AL"	"01073"	46	657513	7.0
	"Mobile County, AL"	"01097"	33	398082	8.3
	"Anchorage Borough, AK"	"02020"	39	270568	14.4
	"Fairbanks North Star Borough, AK"	"02090"	10	86885	11.5 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	12	67162	17.9 (Unreliable)
	"Cochise County, AZ"	"04003"	15	120638	12.4 (Unreliable)
	"Coconino County, AZ"	"04005"	13	122882	10.6 (Unreliable)
	"Maricopa County, AZ"	"04013"	368	3328468	11.1
	"Mohave County, AZ"	"04015"	15	172633	8.7 (Unreliable)
	"Navajo County, AZ"	"04017"	13	101529	12.8 (Unreliable)
	"Pima County, AZ"	"04019"	169	885893	19.1
	"Pinal County, AZ"	"04021"	26	207920	12.5
	"Yavapai County, AZ"	"04025"	30	182090	16.5
	"Benton County, AR"	"05007"	10	171742	5.8 (Unreliable)
	"Garland County, AR"	"05051"	11	90483	12.2 (Unreliable)
	"Pulaski County, AR"	"05119"	31	365258	8.5
	"Washington County, AR"	"05143"	14	171424	8.2 (Unreliable)
	"Alameda County, CA"	"06001"	109	1454163	7.5
	"Butte County, CA"	"06007"	50	211481	23.6
	"Contra Costa County, CA"	"06013"	65	987531	6.6
	"El Dorado County, CA"	"06017"	24	168331	14.3
	"Fresno County, CA"	"06019"	74	847193	8.7
	"Humboldt County, CA"	"06023"	40	129754	30.8
	"Kern County, CA"	"06029"	99	714272	13.9
	"Lake County, CA"	"06033"	11	62496	17.6 (Unreliable)
	"Los Angeles County, CA"	"06037"	735	9767145	7.5
	"Madera County, CA"	"06039"	17	132738	12.8 (Unreliable)
	"Marin County, CA"	"06041"	30	245054	12.2
	"Mendocino County, CA"	"06045"	21	88140	23.8
	"Merced County, CA"	"06047"	18	231735	7.8 (Unreliable)
	"Monterey County, CA"	"06053"	40	409725	9.8
	"Napa County, CA"	"06055"	13	130138	10.0 (Unreliable)
	"Nevada County, CA"	"06057"	13	95606	13.6 (Unreliable)
	"Orange County, CA"	"06059"	218	2929376	7.4
	"Placer County, CA"	"06061"	39	290726	13.4
	"Riverside County, CA"	"06065"	156	1771656	8.8
	"Sacramento County, CA"	"06067"	158	1328531	11.9
	"San Bernardino County, CA"	"06071"	72	1846115	3.9
	"San Diego County, CA"	"06073"	292	2914702	10.0
	"San Francisco County, CA"	"06075"	116	766160	15.1
	"San Joaquin County, CA"	"06077"	61	626778	9.7
	"San Luis Obispo County, CA"	"06079"	16	254674	6.3 (Unreliable)
	"San Mateo County, CA"	"06081"	52	693057	7.5
	"Santa Barbara County, CA"	"06083"	42	406810	10.3
	"Santa Clara County, CA"	"06085"	83	1663592	5.0
	"Santa Cruz County, CA"	"06087"	22	253021	8.7
	"Shasta County, CA"	"06089"	40	173202	23.1
	"Solano County, CA"	"06095"	33	408409	8.1
	"Sonoma County, CA"	"06097"	54	466489	11.6
	"Stanislaus County, CA"	"06099"	89	487357	18.3
	"Tulare County, CA"	"06107"	35	388743	9.0
	"Tuolumne County, CA"	"06109"	12	56513	21.2 (Unreliable)
	"Ventura County, CA"	"06111"	87	788070	11.0
	"Yolo County, CA"	"06113"	10	182954	5.5 (Unreliable)
	"Adams County, CO"	"08001"	47	377464	12.5
	"Arapahoe County, CO"	"08005"	48	513690	9.3
	"Boulder County, CO"	"08013"	28	278768	10.0
	"Denver County, CO"	"08031"	115	552588	20.8
	"Douglas County, CO"	"08035"	10	220352	4.5 (Unreliable)
	"El Paso County, CO"	"08041"	62	547549	11.3
	"Jefferson County, CO"	"08059"	50	524940	9.5
	"Larimer County, CO"	"08069"	26	268448	9.7
	"Mesa County, CO"	"08077"	12	124994	9.6 (Unreliable)
	"Pueblo County, CO"	"08101"	17	147907	11.5 (Unreliable)
	"Weld County, CO"	"08123"	18	208858	8.6 (Unreliable)
	"Fairfield County, CT"	"09001"	65	896342	7.3
	"Hartford County, CT"	"09003"	80	873335	9.2
	"Litchfield County, CT"	"09005"	14	187424	7.5 (Unreliable)
	"New Haven County, CT"	"09009"	83	841939	9.9
	"New London County, CT"	"09011"	29	266584	10.9
	"Tolland County, CT"	"09013"	11	145195	7.6 (Unreliable)
	"Windham County, CT"	"09015"	17	112653	15.1 (Unreliable)
	"Kent County, DE"	"10001"	13	134605	9.7 (Unreliable)
	"New Castle County, DE"	"10003"	54	514769	10.5
	"Sussex County, DE"	"10005"	10	168629	5.9 (Unreliable)
	"District of Columbia, DC"	"11001"	103	568502	18.1
	"Alachua County, FL"	"12001"	24	227022	10.6
	"Bay County, FL"	"12005"	23	155044	14.8
	"Brevard County, FL"	"12009"	101	504847	20.0
	"Broward County, FL"	"12011"	236	1707543	13.8
	"Charlotte County, FL"	"12015"	14	153235	9.1 (Unreliable)
	"Citrus County, FL"	"12017"	18	126215	14.3 (Unreliable)
	"Clay County, FL"	"12019"	22	155620	14.1
	"Collier County, FL"	"12021"	33	285321	11.6
	"Duval County, FL"	"12031"	129	809633	15.9
	"Escambia County, FL"	"12033"	32	296603	10.8
	"Hernando County, FL"	"12053"	19	142686	13.3 (Unreliable)
	"Highlands County, FL"	"12055"	11	90943	12.1 (Unreliable)
	"Hillsborough County, FL"	"12057"	129	1077462	12.0
	"Indian River County, FL"	"12061"	11	120450	9.1 (Unreliable)
	"Lake County, FL"	"12069"	18	241489	7.5 (Unreliable)
	"Lee County, FL"	"12071"	77	497662	15.5
	"Leon County, FL"	"12073"	15	250673	6.0 (Unreliable)
	"Manatee County, FL"	"12081"	47	287000	16.4
	"Marion County, FL"	"12083"	45	280091	16.1
	"Martin County, FL"	"12085"	17	136598	12.4 (Unreliable)
	"Miami-Dade County, FL"	"12086"	94	2336070	4.0
	"Monroe County, FL"	"12087"	21	78497	26.8
	"Nassau County, FL"	"12089"	11	62069	17.7 (Unreliable)
	"Okaloosa County, FL"	"12091"	27	177649	15.2
	"Orange County, FL"	"12095"	94	979227	9.6
	"Osceola County, FL"	"12097"	21	202687	10.4
	"Palm Beach County, FL"	"12099"	200	1218100	16.4
	"Pasco County, FL"	"12101"	63	383238	16.4
	"Pinellas County, FL"	"12103"	139	926266	15.0
	"Polk County, FL"	"12105"	47	513058	9.2
	"St. Lucie County, FL"	"12111"	23	214924	10.7
	"Santa Rosa County, FL"	"12113"	25	131463	19.0
	"Sarasota County, FL"	"12115"	62	347862	17.8
	"Seminole County, FL"	"12117"	43	388141	11.1
	"Volusia County, FL"	"12127"	59	466074	12.7
	"Bibb County, GA"	"13021"	14	153697	9.1 (Unreliable)
	"Chatham County, GA"	"13051"	11	237348	4.6 (Unreliable)
	"Cherokee County, GA"	"13057"	14	165585	8.5 (Unreliable)
	"Clayton County, GA"	"13063"	20	252631	7.9
	"Cobb County, GA"	"13067"	40	634638	6.3
	"DeKalb County, GA"	"13089"	35	668148	5.2
	"Fulton County, GA"	"13121"	72	812568	8.9
	"Gwinnett County, GA"	"13135"	29	663391	4.4
	"Hall County, GA"	"13139"	10	153561	6.5 (Unreliable)
	"Houston County, GA"	"13153"	10	119396	8.4 (Unreliable)
	"Jackson County, GA"	"13157"	10	46230	21.6 (Unreliable)
	"Laurens County, GA"	"13175"	10	46277	21.6 (Unreliable)
	"Muscogee County, GA"	"13215"	16	180838	8.8 (Unreliable)
	"Richmond County, GA"	"13245"	17	196958	8.6 (Unreliable)
	"Rockdale County, GA"	"13247"	13	74860	17.4 (Unreliable)
	"Hawaii County, HI"	"15001"	17	158442	10.7 (Unreliable)
	"Honolulu County, HI"	"15003"	70	894311	7.8
	"Ada County, ID"	"16001"	28	327393	8.6
	"Bonneville County, ID"	"16019"	11	86846	12.7 (Unreliable)
	"Cook County, IL"	"17031"	448	5294739	8.5
	"DuPage County, IL"	"17043"	59	914078	6.5
	"Kane County, IL"	"17089"	16	453929	3.5 (Unreliable)
	"Kankakee County, IL"	"17091"	10	105794	9.5 (Unreliable)
	"Lake County, IL"	"17097"	39	668760	5.8
	"LaSalle County, IL"	"17099"	10	110949	9.0 (Unreliable)
	"McHenry County, IL"	"17111"	16	281743	5.7 (Unreliable)
	"McLean County, IL"	"17113"	11	157795	7.0 (Unreliable)
	"Madison County, IL"	"17119"	17	262566	6.5 (Unreliable)
	"Peoria County, IL"	"17143"	11	182338	6.0 (Unreliable)
	"Vermilion County, IL"	"17183"	11	82996	13.3 (Unreliable)
	"Will County, IL"	"17197"	34	579547	5.9
	"Winnebago County, IL"	"17201"	31	283230	10.9
	"Allen County, IN"	"18003"	10	339569	2.9 (Unreliable)
	"Clark County, IN"	"18019"	22	99349	22.1
	"Delaware County, IN"	"18035"	22	119935	18.3
	"Hendricks County, IN"	"18063"	11	119340	9.2 (Unreliable)
	"Henry County, IN"	"18065"	14	48145	29.1 (Unreliable)
	"Howard County, IN"	"18067"	11	84538	13.0 (Unreliable)
	"Lake County, IN"	"18089"	12	485596	2.5 (Unreliable)
	"Madison County, IN"	"18095"	26	131740	19.7
	"Marion County, IN"	"18097"	70	868576	8.1
	"Porter County, IN"	"18127"	12	151731	7.9 (Unreliable)
	"St. Joseph County, IN"	"18141"	11	264762	4.2 (Unreliable)
	"Tippecanoe County, IN"	"18157"	13	154040	8.4 (Unreliable)
	"Vanderburgh County, IN"	"18163"	19	174239	10.9 (Unreliable)
	"Polk County, IA"	"19153"	19	388277	4.9 (Unreliable)
	"Johnson County, KS"	"20091"	31	485689	6.4
	"Sedgwick County, KS"	"20173"	59	462442	12.8
	"Shawnee County, KS"	"20177"	16	170854	9.4 (Unreliable)
	"Wyandotte County, KS"	"20209"	10	156276	6.4 (Unreliable)
	"Bell County, KY"	"21013"	16	29478	54.3 (Unreliable)
	"Boone County, KY"	"21015"	14	96680	14.5 (Unreliable)
	"Campbell County, KY"	"21037"	14	88259	15.9 (Unreliable)
	"Daviess County, KY"	"21059"	11	92457	11.9 (Unreliable)
	"Fayette County, KY"	"21067"	34	269904	12.6
	"Floyd County, KY"	"21071"	11	41325	26.6 (Unreliable)
	"Harlan County, KY"	"21095"	13	31291	41.5 (Unreliable)
	"Jefferson County, KY"	"21111"	89	703970	12.6
	"Kenton County, KY"	"21117"	34	152591	22.3
	"Laurel County, KY"	"21125"	10	55371	18.1 (Unreliable)
	"Madison County, KY"	"21151"	12	74998	16.0 (Unreliable)
	"Perry County, KY"	"21193"	12	29173	41.1 (Unreliable)
	"Pike County, KY"	"21195"	19	66850	28.4 (Unreliable)
	"Pulaski County, KY"	"21199"	10	58232	17.2 (Unreliable)
	"Warren County, KY"	"21227"	11	97721	11.3 (Unreliable)
	"Whitley County, KY"	"21235"	12	36099	33.2 (Unreliable)
	"Acadia Parish, LA"	"22001"	11	59194	18.6 (Unreliable)
	"Ascension Parish, LA"	"22005"	12	83967	14.3 (Unreliable)
	"Bossier Parish, LA"	"22015"	23	103088	22.3
	"Caddo Parish, LA"	"22017"	29	248346	11.7
	"Calcasieu Parish, LA"	"22019"	30	184701	16.2
	"East Baton Rouge Parish, LA"	"22033"	25	412553	6.1
	"Jefferson Parish, LA"	"22051"	98	454533	21.6
	"Lafayette Parish, LA"	"22055"	30	196710	15.3
	"Livingston Parish, LA"	"22063"	25	102146	24.5
	"Orleans Parish, LA"	"22071"	28	492187	5.7
	"Ouachita Parish, LA"	"22073"	12	148549	8.1 (Unreliable)
