"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	27	175827	15.4
	"Blount County, AL"	"01009"	17	57055	29.8 (Unreliable)
	"Calhoun County, AL"	"01015"	21	117274	17.9
	"Cullman County, AL"	"01043"	11	80273	13.7 (Unreliable)
	"DeKalb County, AL"	"01049"	11	70228	15.7 (Unreliable)
	"Etowah County, AL"	"01055"	20	104206	19.2
	"Houston County, AL"	"01069"	13	99183	13.1 (Unreliable)
	"Jefferson County, AL"	"01073"	75	656510	11.4
	"Lauderdale County, AL"	"01077"	18	92202	19.5 (Unreliable)
	"Limestone County, AL"	"01083"	14	78835	17.8 (Unreliable)
	"Madison County, AL"	"01089"	26	323526	8.0
	"Mobile County, AL"	"01097"	60	409196	14.7
	"Montgomery County, AL"	"01101"	10	227461	4.4 (Unreliable)
	"Morgan County, AL"	"01103"	22	117694	18.7
	"Russell County, AL"	"01113"	10	51434	19.4 (Unreliable)
	"Shelby County, AL"	"01117"	45	188534	23.9
	"Tuscaloosa County, AL"	"01125"	33	188093	17.5
	"Walker County, AL"	"01127"	35	67835	51.6
	"Anchorage Borough, AK"	"02020"	60	281554	21.3
	"Fairbanks North Star Borough, AK"	"02090"	14	94552	14.8 (Unreliable)
	"Kenai Peninsula Borough, AK"	"02122"	10	53655	18.6 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	20	84079	23.8
	"Cochise County, AZ"	"04003"	15	129023	11.6 (Unreliable)
	"Coconino County, AZ"	"04005"	16	131853	12.1 (Unreliable)
	"Maricopa County, AZ"	"04013"	526	3771061	13.9
	"Mohave County, AZ"	"04015"	35	200078	17.5
	"Navajo County, AZ"	"04017"	10	107626	9.3 (Unreliable)
	"Pima County, AZ"	"04019"	121	967778	12.5
	"Pinal County, AZ"	"04021"	29	335311	8.6
	"Yavapai County, AZ"	"04025"	38	211211	18.0
	"Yuma County, AZ"	"04027"	14	191202	7.3 (Unreliable)
	"Benton County, AR"	"05007"	27	210807	12.8
	"Craighead County, AR"	"05031"	17	93316	18.2 (Unreliable)
	"Crawford County, AR"	"05033"	12	60933	19.7 (Unreliable)
	"Faulkner County, AR"	"05045"	15	108477	13.8 (Unreliable)
	"Garland County, AR"	"05051"	23	95636	24.0
	"Lonoke County, AR"	"05085"	10	66086	15.1 (Unreliable)
	"Pulaski County, AR"	"05119"	37	376567	9.8
	"Saline County, AR"	"05125"	17	102599	16.6 (Unreliable)
	"Sebastian County, AR"	"05131"	25	123762	20.2
	"Washington County, AR"	"05143"	11	197223	5.6 (Unreliable)
	"Alameda County, CA"	"06001"	157	1477208	10.6
	"Butte County, CA"	"06007"	68	219034	31.0
	"Contra Costa County, CA"	"06013"	115	1023344	11.2
	"El Dorado County, CA"	"06017"	30	179150	16.7
	"Fresno County, CA"	"06019"	94	909630	10.3
	"Humboldt County, CA"	"06023"	49	132657	36.9
	"Imperial County, CA"	"06025"	12	167917	7.1 (Unreliable)
	"Kern County, CA"	"06029"	122	818327	14.9
	"Kings County, CA"	"06031"	12	152027	7.9 (Unreliable)
	"Lake County, CA"	"06033"	18	64392	28.0 (Unreliable)
	"Lassen County, CA"	"06035"	13	35221	36.9 (Unreliable)
	"Los Angeles County, CA"	"06037"	707	9735147	7.3
	"Madera County, CA"	"06039"	11	148359	7.4 (Unreliable)
	"Marin County, CA"	"06041"	32	248398	12.9
	"Mendocino County, CA"	"06045"	18	87468	20.6 (Unreliable)
	"Merced County, CA"	"06047"	27	250538	10.8
	"Monterey County, CA"	"06053"	44	406022	10.8
	"Napa County, CA"	"06055"	16	134093	11.9 (Unreliable)
	"Nevada County, CA"	"06057"	13	98200	13.2 (Unreliable)
	"Orange County, CA"	"06059"	324	2957593	11.0
	"Placer County, CA"	"06061"	41	337568	12.1
	"Riverside County, CA"	"06065"	219	2109712	10.4
	"Sacramento County, CA"	"06067"	260	1394438	18.6
	"San Bernardino County, CA"	"06071"	109	2003735	5.4
	"San Diego County, CA"	"06073"	361	3022116	11.9
	"San Francisco County, CA"	"06075"	173	791152	21.9
	"San Joaquin County, CA"	"06077"	106	671692	15.8
	"San Luis Obispo County, CA"	"06079"	27	266358	10.1
	"San Mateo County, CA"	"06081"	56	703830	8.0
	"Santa Barbara County, CA"	"06083"	44	415859	10.6
	"Santa Clara County, CA"	"06085"	114	1740964	6.5
	"Santa Cruz County, CA"	"06087"	31	256520	12.1
	"Shasta County, CA"	"06089"	57	177247	32.2
	"Siskiyou County, CA"	"06093"	10	44780	22.3 (Unreliable)
	"Solano County, CA"	"06095"	44	408972	10.8
	"Sonoma County, CA"	"06097"	75	473091	15.9
	"Stanislaus County, CA"	"06099"	66	509032	13.0
	"Sutter County, CA"	"06101"	12	93855	12.8 (Unreliable)
	"Tehama County, CA"	"06103"	11	62648	17.6 (Unreliable)
	"Tulare County, CA"	"06107"	19	429283	4.4 (Unreliable)
	"Tuolumne County, CA"	"06109"	10	56320	17.8 (Unreliable)
	"Ventura County, CA"	"06111"	80	806353	9.9
	"Yolo County, CA"	"06113"	13	197154	6.6 (Unreliable)
	"Adams County, CO"	"08001"	64	424913	15.1
	"Arapahoe County, CO"	"08005"	94	552461	17.0
	"Boulder County, CO"	"08013"	43	290859	14.8
	"Denver County, CO"	"08031"	170	575721	29.5
	"El Paso County, CO"	"08041"	96	597919	16.1
	"Fremont County, CO"	"08043"	13	47166	27.6 (Unreliable)
	"Jefferson County, CO"	"08059"	66	529003	12.5
	"Larimer County, CO"	"08069"	44	291650	15.1
	"Mesa County, CO"	"08077"	21	143155	14.7
	"Pueblo County, CO"	"08101"	26	156748	16.6
	"Weld County, CO"	"08123"	18	243442	7.4 (Unreliable)
	"Fairfield County, CT"	"09001"	86	903824	9.5
	"Hartford County, CT"	"09003"	86	887891	9.7
	"Litchfield County, CT"	"09005"	27	190175	14.2
	"Middlesex County, CT"	"09007"	22	164962	13.3
	"New Haven County, CT"	"09009"	117	856622	13.7
	"New London County, CT"	"09011"	24	272634	8.8
	"Windham County, CT"	"09015"	16	117888	13.6 (Unreliable)
