"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	24	186653	12.9
	"Calhoun County, AL"	"01015"	14	117736	11.9 (Unreliable)
	"Cullman County, AL"	"01043"	10	80457	12.4 (Unreliable)
	"DeKalb County, AL"	"01049"	11	71389	15.4 (Unreliable)
	"Escambia County, AL"	"01053"	16	38227	41.9 (Unreliable)
	"Etowah County, AL"	"01055"	15	104236	14.4 (Unreliable)
	"Houston County, AL"	"01069"	13	102480	12.7 (Unreliable)
	"Jefferson County, AL"	"01073"	85	657669	12.9
	"Lauderdale County, AL"	"01077"	12	92593	13.0 (Unreliable)
	"Limestone County, AL"	"01083"	10	85571	11.7 (Unreliable)
	"Madison County, AL"	"01089"	30	339594	8.8
	"Mobile County, AL"	"01097"	48	413178	11.6
	"Morgan County, AL"	"01103"	16	119988	13.3 (Unreliable)
	"St. Clair County, AL"	"01115"	18	84351	21.3 (Unreliable)
	"Shelby County, AL"	"01117"	27	197975	13.6
	"Tuscaloosa County, AL"	"01125"	22	196696	11.2
	"Walker County, AL"	"01127"	37	66661	55.5
	"Anchorage Borough, AK"	"02020"	52	296397	17.5
	"Fairbanks North Star Borough, AK"	"02090"	10	98100	10.2 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	19	91831	20.7 (Unreliable)
	"Coconino County, AZ"	"04005"	22	134186	16.4
	"Maricopa County, AZ"	"04013"	627	3870806	16.2
	"Mohave County, AZ"	"04015"	57	202635	28.1
	"Navajo County, AZ"	"04017"	17	107435	15.8 (Unreliable)
	"Pima County, AZ"	"04019"	193	987816	19.5
	"Pinal County, AZ"	"04021"	44	378007	11.6
	"Yavapai County, AZ"	"04025"	59	211138	27.9
	"Yuma County, AZ"	"04027"	23	202539	11.4
	"Benton County, AR"	"05007"	28	228788	12.2
	"Craighead County, AR"	"05031"	13	98371	13.2 (Unreliable)
	"Crawford County, AR"	"05033"	19	61829	30.7 (Unreliable)
	"Faulkner County, AR"	"05045"	14	116297	12.0 (Unreliable)
	"Garland County, AR"	"05051"	21	96617	21.7
	"Pope County, AR"	"05115"	10	62646	16.0 (Unreliable)
	"Pulaski County, AR"	"05119"	41	386776	10.6
	"Saline County, AR"	"05125"	15	109901	13.6 (Unreliable)
	"Sebastian County, AR"	"05131"	18	126909	14.2 (Unreliable)
	"Washington County, AR"	"05143"	19	207833	9.1 (Unreliable)
	"Alameda County, CA"	"06001"	168	1532019	11.0
	"Amador County, CA"	"06005"	10	37524	26.6 (Unreliable)
	"Butte County, CA"	"06007"	84	219987	38.2
	"Calaveras County, CA"	"06009"	15	45106	33.3 (Unreliable)
	"Contra Costa County, CA"	"06013"	122	1066126	11.4
	"El Dorado County, CA"	"06017"	35	180863	19.4
	"Fresno County, CA"	"06019"	90	940496	9.6
	"Humboldt County, CA"	"06023"	57	135243	42.1
	"Imperial County, CA"	"06025"	23	176227	13.1
	"Kern County, CA"	"06029"	151	849484	17.8
