"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	38	199745	19.0
	"Blount County, AL"	"01009"	12	57621	20.8 (Unreliable)
	"Calhoun County, AL"	"01015"	19	115837	16.4 (Unreliable)
	"Cullman County, AL"	"01043"	30	81167	37.0
	"Elmore County, AL"	"01051"	10	80794	12.4 (Unreliable)
	"Escambia County, AL"	"01053"	13	37878	34.3 (Unreliable)
	"Etowah County, AL"	"01055"	18	103371	17.4 (Unreliable)
	"Houston County, AL"	"01069"	13	104177	12.5 (Unreliable)
	"Jefferson County, AL"	"01073"	175	659733	26.5
	"Lee County, AL"	"01081"	12	154277	7.8 (Unreliable)
	"Madison County, AL"	"01089"	23	350121	6.6
	"Marshall County, AL"	"01095"	21	94320	22.3
	"Mobile County, AL"	"01097"	56	414342	13.5
	"Montgomery County, AL"	"01101"	19	227193	8.4 (Unreliable)
	"Morgan County, AL"	"01103"	12	119602	10.0 (Unreliable)
	"St. Clair County, AL"	"01115"	34	86482	39.3
	"Shelby County, AL"	"01117"	40	205990	19.4
	"Tuscaloosa County, AL"	"01125"	24	202671	11.8
	"Walker County, AL"	"01127"	22	65564	33.6
	"Anchorage Borough, AK"	"02020"	58	300429	19.3
	"Fairbanks North Star Borough, AK"	"02090"	17	99295	17.1 (Unreliable)
	"Kenai Peninsula Borough, AK"	"02122"	10	57626	17.4 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	19	98196	19.3 (Unreliable)
	"Cochise County, AZ"	"04003"	21	127321	16.5
	"Coconino County, AZ"	"04005"	15	137695	10.9 (Unreliable)
	"Gila County, AZ"	"04007"	18	53124	33.9 (Unreliable)
	"Maricopa County, AZ"	"04013"	695	4083931	17.0
	"Mohave County, AZ"	"04015"	58	202985	28.6
	"Navajo County, AZ"	"04017"	26	108178	24.0
	"Pima County, AZ"	"04019"	223	1003157	22.2
	"Pinal County, AZ"	"04021"	33	396024	8.3
	"Yavapai County, AZ"	"04025"	59	218405	27.0
	"Yuma County, AZ"	"04027"	39	203111	19.2
	"Baxter County, AR"	"05005"	11	40797	27.0 (Unreliable)
	"Benton County, AR"	"05007"	35	243991	14.3
	"Crawford County, AR"	"05033"	10	61840	16.2 (Unreliable)
	"Faulkner County, AR"	"05045"	16	120683	13.3 (Unreliable)
	"Garland County, AR"	"05051"	26	97183	26.8
	"Lonoke County, AR"	"05085"	14	71563	19.6 (Unreliable)
	"Pulaski County, AR"	"05119"	54	392633	13.8
	"Saline County, AR"	"05125"	14	115780	12.1 (Unreliable)
	"Sebastian County, AR"	"05131"	15	126827	11.8 (Unreliable)
	"Washington County, AR"	"05143"	20	219891	9.1
	"Alameda County, CA"	"06001"	165	1608868	10.3
	"Amador County, CA"	"06005"	14	36739	38.1 (Unreliable)
	"Butte County, CA"	"06007"	74	223974	33.0
	"Contra Costa County, CA"	"06013"	126	1108996	11.4
	"El Dorado County, CA"	"06017"	47	183031	25.7
	"Fresno County, CA"	"06019"	129	963151	13.4
	"Humboldt County, CA"	"06023"	43	134665	31.9
	"Imperial County, CA"	"06025"	26	178866	14.5
	"Kern County, CA"	"06029"	213	872138	24.4
	"Kings County, CA"	"06031"	24	149669	16.0
	"Lake County, CA"	"06033"	35	64099	54.6
	"Lassen County, CA"	"06035"	13	31714	41.0 (Unreliable)
	"Los Angeles County, CA"	"06037"	735	10066615	7.3
	"Madera County, CA"	"06039"	22	154071	14.3
	"Marin County, CA"	"06041"	18	260516	6.9 (Unreliable)
	"Mendocino County, CA"	"06045"	25	87449	28.6
	"Merced County, CA"	"06047"	30	265139	11.3
