"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	22	195147	11.3
	"Blount County, AL"	"01009"	13	57746	22.5 (Unreliable)
	"Cullman County, AL"	"01043"	16	80731	19.8 (Unreliable)
	"DeKalb County, AL"	"01049"	23	70882	32.4
	"Escambia County, AL"	"01053"	13	37877	34.3 (Unreliable)
	"Etowah County, AL"	"01055"	21	103790	20.2
	"Franklin County, AL"	"01059"	10	31505	31.7 (Unreliable)
	"Houston County, AL"	"01069"	20	103614	19.3
	"Jefferson County, AL"	"01073"	96	658578	14.6
	"Lee County, AL"	"01081"	10	151411	6.6 (Unreliable)
	"Madison County, AL"	"01089"	23	346704	6.6
	"Marshall County, AL"	"01095"	16	94318	17.0 (Unreliable)
	"Mobile County, AL"	"01097"	64	413884	15.5
	"Montgomery County, AL"	"01101"	10	227841	4.4 (Unreliable)
	"Morgan County, AL"	"01103"	18	119652	15.0 (Unreliable)
	"St. Clair County, AL"	"01115"	22	86225	25.5
	"Shelby County, AL"	"01117"	30	203825	14.7
	"Talladega County, AL"	"01121"	11	81277	13.5 (Unreliable)
	"Tuscaloosa County, AL"	"01125"	33	200681	16.4
	"Walker County, AL"	"01127"	26	65934	39.4
	"Anchorage Borough, AK"	"02020"	49	301143	16.3
	"Fairbanks North Star Borough, AK"	"02090"	12	100879	11.9 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	12	95923	12.5 (Unreliable)
	"Cochise County, AZ"	"04003"	13	129554	10.0 (Unreliable)
	"Coconino County, AZ"	"04005"	30	136641	22.0
	"Gila County, AZ"	"04007"	12	53039	22.6 (Unreliable)
	"Maricopa County, AZ"	"04013"	705	4011219	17.6
	"Mohave County, AZ"	"04015"	62	202622	30.6
	"Navajo County, AZ"	"04017"	29	107443	27.0
	"Pima County, AZ"	"04019"	215	996634	21.6
	"Pinal County, AZ"	"04021"	52	384978	13.5
	"Yavapai County, AZ"	"04025"	65	215027	30.2
	"Yuma County, AZ"	"04027"	23	201851	11.4
	"Benton County, AR"	"05007"	22	238778	9.2
	"Craighead County, AR"	"05031"	19	101654	18.7 (Unreliable)
	"Crawford County, AR"	"05033"	12	61696	19.5 (Unreliable)
	"Garland County, AR"	"05051"	22	96986	22.7
	"Lonoke County, AR"	"05085"	13	70807	18.4 (Unreliable)
	"Pulaski County, AR"	"05119"	55	391312	14.1
	"Saline County, AR"	"05125"	12	114287	10.5 (Unreliable)
	"Sebastian County, AR"	"05131"	12	127127	9.4 (Unreliable)
	"Washington County, AR"	"05143"	16	215979	7.4 (Unreliable)
	"White County, AR"	"05145"	11	78635	14.0 (Unreliable)
	"Alameda County, CA"	"06001"	174	1581226	11.0
	"Butte County, CA"	"06007"	57	222116	25.7
	"Calaveras County, CA"	"06009"	11	44577	24.7 (Unreliable)
	"Contra Costa County, CA"	"06013"	140	1094030	12.8
	"El Dorado County, CA"	"06017"	33	181427	18.2
	"Fresno County, CA"	"06019"	89	953762	9.3
	"Humboldt County, CA"	"06023"	41	134555	30.5
	"Imperial County, CA"	"06025"	30	177194	16.9
	"Kern County, CA"	"06029"	181	864454	20.9
	"Kings County, CA"	"06031"	22	150480	14.6
	"Lake County, CA"	"06033"	30	63776	47.0
