"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	43	203690	21.1
	"Blount County, AL"	"01009"	11	57676	19.1 (Unreliable)
	"Calhoun County, AL"	"01015"	20	115285	17.3
	"Cullman County, AL"	"01043"	16	81858	19.5 (Unreliable)
	"DeKalb County, AL"	"01049"	19	70996	26.8 (Unreliable)
	"Etowah County, AL"	"01055"	22	102873	21.4
	"Houston County, AL"	"01069"	13	104225	12.5 (Unreliable)
	"Jefferson County, AL"	"01073"	164	660007	24.8
	"Lee County, AL"	"01081"	17	156767	10.8 (Unreliable)
	"Madison County, AL"	"01089"	41	353302	11.6
	"Marshall County, AL"	"01095"	24	94693	25.3
	"Mobile County, AL"	"01097"	69	414634	16.6
	"Montgomery County, AL"	"01101"	15	226868	6.6 (Unreliable)
	"Morgan County, AL"	"01103"	26	119387	21.8
	"St. Clair County, AL"	"01115"	20	86986	23.0
	"Shelby County, AL"	"01117"	41	208527	19.7
	"Tuscaloosa County, AL"	"01125"	27	204321	13.2
	"Walker County, AL"	"01127"	11	65291	16.8 (Unreliable)
	"Anchorage Borough, AK"	"02020"	59	298312	19.8
	"Fairbanks North Star Borough, AK"	"02090"	10	99639	10.0 (Unreliable)
	"Kenai Peninsula Borough, AK"	"02122"	16	58044	27.6 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	14	101120	13.8 (Unreliable)
	"Cochise County, AZ"	"04003"	34	126395	26.9
	"Coconino County, AZ"	"04005"	26	139076	18.7
	"Gila County, AZ"	"04007"	20	53138	37.6
	"Maricopa County, AZ"	"04013"	707	4161637	17.0
	"Mohave County, AZ"	"04015"	62	204165	30.4
	"Navajo County, AZ"	"04017"	15	108363	13.8 (Unreliable)
	"Pima County, AZ"	"04019"	232	1008205	23.0
	"Pinal County, AZ"	"04021"	58	406220	14.3
	"Yavapai County, AZ"	"04025"	56	221584	25.3
	"Yuma County, AZ"	"04027"	31	203706	15.2
	"Baxter County, AR"	"05005"	10	41070	24.3 (Unreliable)
	"Benton County, AR"	"05007"	37	250851	14.7
	"Clay County, AR"	"05021"	10	15067	66.4 (Unreliable)
	"Craighead County, AR"	"05031"	14	104362	13.4 (Unreliable)
	"Crawford County, AR"	"05033"	12	61894	19.4 (Unreliable)
	"Faulkner County, AR"	"05045"	10	121343	8.2 (Unreliable)
	"Garland County, AR"	"05051"	26	97154	26.8
	"Greene County, AR"	"05055"	10	44167	22.6 (Unreliable)
	"Jefferson County, AR"	"05069"	10	71764	13.9 (Unreliable)
	"Pulaski County, AR"	"05119"	45	392932	11.5
	"Saline County, AR"	"05125"	14	117358	11.9 (Unreliable)
	"Sebastian County, AR"	"05131"	20	127590	15.7
	"Washington County, AR"	"05143"	20	224233	8.9
	"White County, AR"	"05145"	14	79013	17.7 (Unreliable)
	"Alameda County, CA"	"06001"	200	1632747	12.2
	"Butte County, CA"	"06007"	65	225251	28.9
	"Calaveras County, CA"	"06009"	10	44840	22.3 (Unreliable)
	"Contra Costa County, CA"	"06013"	108	1123231	9.6
	"El Dorado County, CA"	"06017"	39	184359	21.2
	"Fresno County, CA"	"06019"	141	972130	14.5
	"Humboldt County, CA"	"06023"	41	135383	30.3
	"Imperial County, CA"	"06025"	41	179806	22.8
	"Kern County, CA"	"06029"	213	879497	24.2
	"Kings County, CA"	"06031"	15	150331	10.0 (Unreliable)
	"Lake County, CA"	"06033"	32	64446	49.7
	"Los Angeles County, CA"	"06037"	732	10112255	7.2
	"Madera County, CA"	"06039"	25	154306	16.2
	"Marin County, CA"	"06041"	18	261054	6.9 (Unreliable)
	"Mendocino County, CA"	"06045"	16	87353	18.3 (Unreliable)
	"Merced County, CA"	"06047"	40	267101	15.0
	"Monterey County, CA"	"06053"	46	432007	10.6
	"Napa County, CA"	"06055"	19	141854	13.4 (Unreliable)
	"Nevada County, CA"	"06057"	19	98829	19.2 (Unreliable)
	"Orange County, CA"	"06059"	381	3156573	12.1
	"Placer County, CA"	"06061"	44	374383	11.8
	"Riverside County, CA"	"06065"	337	2352892	14.3
	"Sacramento County, CA"	"06067"	283	1496644	18.9
	"San Bernardino County, CA"	"06071"	102	2122545	4.8
	"San Diego County, CA"	"06073"	419	3290245	12.7
	"San Francisco County, CA"	"06075"	196	862004	22.7
	"San Joaquin County, CA"	"06077"	116	723496	16.0
	"San Luis Obispo County, CA"	"06079"	52	280960	18.5
	"San Mateo County, CA"	"06081"	69	763191	9.0
	"Santa Barbara County, CA"	"06083"	71	443815	16.0
	"Santa Clara County, CA"	"06085"	141	1910105	7.4
	"Santa Cruz County, CA"	"06087"	50	273627	18.3
	"Shasta County, CA"	"06089"	30	179301	16.7
	"Siskiyou County, CA"	"06093"	14	43483	32.2 (Unreliable)
	"Solano County, CA"	"06095"	58	434321	13.4
	"Sonoma County, CA"	"06097"	80	501474	16.0
	"Stanislaus County, CA"	"06099"	102	535385	19.1
	"Sutter County, CA"	"06101"	10	95978	10.4 (Unreliable)
	"Tulare County, CA"	"06107"	45	458238	9.8
	"Tuolumne County, CA"	"06109"	22	53615	41.0
	"Ventura County, CA"	"06111"	119	847719	14.0
	"Yolo County, CA"	"06113"	31	212202	14.6
	"Yuba County, CA"	"06115"	12	74299	16.2 (Unreliable)
	"Adams County, CO"	"08001"	86	490674	17.5
	"Arapahoe County, CO"	"08005"	103	629241	16.4
	"Boulder County, CO"	"08013"	40	318738	12.5
	"Denver County, CO"	"08031"	117	680032	17.2
	"Douglas County, CO"	"08035"	21	322381	6.5
	"El Paso County, CO"	"08041"	146	674290	21.7
	"Jefferson County, CO"	"08059"	87	565143	15.4
	"La Plata County, CO"	"08067"	10	54770	18.3 (Unreliable)
	"Larimer County, CO"	"08069"	50	333869	15.0
	"Las Animas County, CO"	"08071"	11	14067	78.2 (Unreliable)
	"Mesa County, CO"	"08077"	33	148401	22.2
	"Pueblo County, CO"	"08101"	47	163117	28.8
	"Weld County, CO"	"08123"	39	285053	13.7
	"Fairfield County, CT"	"09001"	141	944674	14.9
	"Hartford County, CT"	"09003"	209	894692	23.4
	"Litchfield County, CT"	"09005"	57	183776	31.0
	"Middlesex County, CT"	"09007"	41	163577	25.1
	"New Haven County, CT"	"09009"	215	859073	25.0
	"New London County, CT"	"09011"	77	270639	28.5
	"Tolland County, CT"	"09013"	25	151684	16.5
	"Windham County, CT"	"09015"	35	116615	30.0
	"Kent County, DE"	"10001"	38	173533	21.9
	"New Castle County, DE"	"10003"	114	555167	20.5
	"Sussex County, DE"	"10005"	46	215376	21.4
	"District of Columbia, DC"	"11001"	125	670377	18.6
	"Alachua County, FL"	"12001"	28	259402	10.8
	"Bay County, FL"	"12005"	30	181947	16.5
	"Brevard County, FL"	"12009"	155	567934	27.3
	"Broward County, FL"	"12011"	280	1887281	14.8
	"Charlotte County, FL"	"12015"	15	173194	8.7 (Unreliable)
	"Citrus County, FL"	"12017"	27	140974	19.2
	"Clay County, FL"	"12019"	46	203383	22.6
	"Collier County, FL"	"12021"	54	356570	15.1
	"Columbia County, FL"	"12023"	11	68286	16.1 (Unreliable)
	"Duval County, FL"	"12031"	169	912081	18.5
	"Escambia County, FL"	"12033"	59	311236	19.0
	"Flagler County, FL"	"12035"	14	105188	13.3 (Unreliable)
	"Hernando County, FL"	"12053"	31	178326	17.4
	"Highlands County, FL"	"12055"	11	99447	11.1 (Unreliable)
	"Hillsborough County, FL"	"12057"	176	1347077	13.1
	"Indian River County, FL"	"12061"	21	147792	14.2
	"Lake County, FL"	"12069"	48	325518	14.7
	"Lee County, FL"	"12071"	102	700285	14.6
	"Leon County, FL"	"12073"	16	286187	5.6 (Unreliable)
	"Manatee County, FL"	"12081"	148	363110	40.8
	"Marion County, FL"	"12083"	51	343514	14.8
	"Martin County, FL"	"12085"	26	155804	16.7
	"Miami-Dade County, FL"	"12086"	203	2692593	7.5
	"Monroe County, FL"	"12087"	20	78728	25.4
	"Okaloosa County, FL"	"12091"	46	198681	23.2
	"Okeechobee County, FL"	"12093"	10	39409	25.4 (Unreliable)
	"Orange County, FL"	"12095"	195	1284864	15.2
	"Osceola County, FL"	"12097"	42	323028	13.0
	"Palm Beach County, FL"	"12099"	319	1421843	22.4
	"Pasco County, FL"	"12101"	113	497292	22.7
	"Pinellas County, FL"	"12103"	190	948391	20.0
	"Polk County, FL"	"12105"	96	649425	14.8
	"St. Johns County, FL"	"12109"	23	226658	10.1
	"St. Lucie County, FL"	"12111"	51	298307	17.1
	"Santa Rosa County, FL"	"12113"	27	166850	16.2
	"Sarasota County, FL"	"12115"	96	404903	23.7
	"Seminole County, FL"	"12117"	66	448722	14.7
	"Sumter County, FL"	"12119"	16	118882	13.5 (Unreliable)
	"Volusia County, FL"	"12127"	98	518190	18.9
	"Bartow County, GA"	"13015"	21	102533	20.5
	"Bibb County, GA"	"13021"	16	153540	10.4 (Unreliable)
	"Carroll County, GA"	"13045"	19	114689	16.6 (Unreliable)
	"Catoosa County, GA"	"13047"	12	65897	18.2 (Unreliable)
	"Chatham County, GA"	"13051"	28	286622	9.8
	"Cherokee County, GA"	"13057"	51	235609	21.6
	"Clarke County, GA"	"13059"	12	123629	9.7 (Unreliable)
	"Clayton County, GA"	"13063"	26	273567	9.5
	"Cobb County, GA"	"13067"	110	740144	14.9
	"Columbia County, GA"	"13073"	18	144080	12.5 (Unreliable)
	"Coweta County, GA"	"13077"	16	138278	11.6 (Unreliable)
	"DeKalb County, GA"	"13089"	79	732758	10.8
	"Douglas County, GA"	"13097"	18	140671	12.8 (Unreliable)
	"Fayette County, GA"	"13113"	15	110546	13.6 (Unreliable)
	"Floyd County, GA"	"13115"	12	96303	12.5 (Unreliable)
	"Forsyth County, GA"	"13117"	35	212125	16.5
	"Fulton County, GA"	"13121"	146	1007803	14.5
	"Gwinnett County, GA"	"13135"	102	892926	11.4
	"Hall County, GA"	"13139"	23	193257	11.9
	"Haralson County, GA"	"13143"	10	28856	34.7 (Unreliable)
	"Henry County, GA"	"13151"	27	217004	12.4
	"Houston County, GA"	"13153"	17	149962	11.3 (Unreliable)
	"Jackson County, GA"	"13157"	16	63038	25.4 (Unreliable)
	"Muscogee County, GA"	"13215"	15	199651	7.5 (Unreliable)
	"Newton County, GA"	"13217"	12	105324	11.4 (Unreliable)
	"Paulding County, GA"	"13223"	24	152253	15.8
	"Richmond County, GA"	"13245"	45	201401	22.3
	"Rockdale County, GA"	"13247"	11	88678	12.4 (Unreliable)
	"Spalding County, GA"	"13255"	14	64016	21.9 (Unreliable)
	"Troup County, GA"	"13285"	14	69747	20.1 (Unreliable)
	"Walton County, GA"	"13297"	19	88495	21.5 (Unreliable)
	"Whitfield County, GA"	"13313"	12	103976	11.5 (Unreliable)
	"Hawaii County, HI"	"15001"	21	196156	10.7
	"Honolulu County, HI"	"15003"	121	993166	12.2
	"Maui County, HI"	"15009"	19	164269	11.6 (Unreliable)
	"Ada County, ID"	"16001"	44	433467	10.2
	"Bannock County, ID"	"16005"	13	83911	15.5 (Unreliable)
	"Bonneville County, ID"	"16019"	28	109997	25.5
	"Canyon County, ID"	"16027"	20	207086	9.7
	"Kootenai County, ID"	"16055"	21	150364	14.0
	"Twin Falls County, ID"	"16083"	17	82107	20.7 (Unreliable)
	"Adams County, IL"	"17001"	16	66974	23.9 (Unreliable)
	"Bureau County, IL"	"17011"	11	33471	32.9 (Unreliable)
	"Champaign County, IL"	"17019"	32	207734	15.4
	"Cook County, IL"	"17031"	697	5224823	13.3
	"DuPage County, IL"	"17043"	112	931819	12.0
	"Franklin County, IL"	"17055"	11	39427	27.9 (Unreliable)
	"Jackson County, IL"	"17077"	10	59220	16.9 (Unreliable)
	"Jefferson County, IL"	"17081"	11	38390	28.7 (Unreliable)
	"Kane County, IL"	"17089"	38	529702	7.2
	"Kankakee County, IL"	"17091"	16	110795	14.4 (Unreliable)
	"Lake County, IL"	"17097"	74	703413	10.5
	"LaSalle County, IL"	"17099"	28	111304	25.2
	"McHenry County, IL"	"17111"	46	307188	15.0
	"McLean County, IL"	"17113"	23	172673	13.3
	"Macon County, IL"	"17115"	17	107377	15.8 (Unreliable)
	"Madison County, IL"	"17119"	74	266071	27.8
	"Marion County, IL"	"17121"	10	38378	26.1 (Unreliable)
	"Peoria County, IL"	"17143"	39	186315	20.9
	"Rock Island County, IL"	"17161"	13	145958	8.9 (Unreliable)
	"St. Clair County, IL"	"17163"	34	264079	12.9
	"Sangamon County, IL"	"17167"	45	198496	22.7
	"Tazewell County, IL"	"17179"	22	134735	16.3
