"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	22	162183	13.6
	"Calhoun County, AL"	"01015"	10	114477	8.7 (Unreliable)
	"Etowah County, AL"	"01055"	11	103174	10.7 (Unreliable)
	"Jefferson County, AL"	"01073"	51	654919	7.8
	"Madison County, AL"	"01089"	15	301474	5.0 (Unreliable)
	"Mobile County, AL"	"01097"	32	398942	8.0
	"Morgan County, AL"	"01103"	11	113964	9.7 (Unreliable)
	"Tuscaloosa County, AL"	"01125"	13	175731	7.4 (Unreliable)
	"Walker County, AL"	"01127"	13	68500	19.0 (Unreliable)
	"Anchorage Borough, AK"	"02020"	38	276494	13.7
	"Fairbanks North Star Borough, AK"	"02090"	12	90431	13.3 (Unreliable)
	"Kenai Peninsula Borough, AK"	"02122"	10	51590	19.4 (Unreliable)
	"Apache County, AZ"	"04001"	10	68521	14.6 (Unreliable)
	"Cochise County, AZ"	"04003"	15	125786	11.9 (Unreliable)
	"Coconino County, AZ"	"04005"	14	127025	11.0 (Unreliable)
	"Maricopa County, AZ"	"04013"	468	3538988	13.2
	"Mohave County, AZ"	"04015"	30	188773	15.9
	"Pima County, AZ"	"04019"	173	920298	18.8
	"Pinal County, AZ"	"04021"	22	235708	9.3
	"Yavapai County, AZ"	"04025"	28	195424	14.3
	"Yuma County, AZ"	"04027"	16	178816	8.9 (Unreliable)
	"Benton County, AR"	"05007"	16	186756	8.6 (Unreliable)
	"Crawford County, AR"	"05033"	11	57779	19.0 (Unreliable)
	"Garland County, AR"	"05051"	14	92096	15.2 (Unreliable)
	"Greene County, AR"	"05055"	11	39599	27.8 (Unreliable)
	"Pope County, AR"	"05115"	11	57535	19.1 (Unreliable)
	"Pulaski County, AR"	"05119"	50	368274	13.6
	"Saline County, AR"	"05125"	18	93493	19.3 (Unreliable)
	"Sebastian County, AR"	"05131"	14	119426	11.7 (Unreliable)
	"Washington County, AR"	"05143"	15	183799	8.2 (Unreliable)
	"Alameda County, CA"	"06001"	167	1441545	11.6
	"Butte County, CA"	"06007"	33	214752	15.4
	"Contra Costa County, CA"	"06013"	105	999013	10.5
	"El Dorado County, CA"	"06017"	25	175003	14.3
	"Fresno County, CA"	"06019"	85	872470	9.7
	"Humboldt County, CA"	"06023"	41	131497	31.2
	"Imperial County, CA"	"06025"	13	156113	8.3 (Unreliable)
	"Kern County, CA"	"06029"	93	760726	12.2
	"Lake County, CA"	"06033"	17	63811	26.6 (Unreliable)
	"Los Angeles County, CA"	"06037"	640	9786373	6.5
	"Madera County, CA"	"06039"	14	140313	10.0 (Unreliable)
	"Marin County, CA"	"06041"	29	244206	11.9
	"Mendocino County, CA"	"06045"	10	87981	11.4 (Unreliable)
	"Merced County, CA"	"06047"	14	242554	5.8 (Unreliable)
	"Monterey County, CA"	"06053"	42	405139	10.4
	"Nevada County, CA"	"06057"	13	97250	13.4 (Unreliable)
	"Orange County, CA"	"06059"	242	2940055	8.2
	"Placer County, CA"	"06061"	36	312762	11.5
	"Riverside County, CA"	"06065"	168	1931785	8.7
	"Sacramento County, CA"	"06067"	226	1360816	16.6
	"San Bernardino County, CA"	"06071"	91	1943924	4.7
	"San Diego County, CA"	"06073"	282	2938375	9.6
	"San Francisco County, CA"	"06075"	125	763016	16.4
	"San Joaquin County, CA"	"06077"	53	656985	8.1
	"San Luis Obispo County, CA"	"06079"	30	258615	11.6
	"San Mateo County, CA"	"06081"	54	690078	7.8
	"Santa Barbara County, CA"	"06083"	37	408079	9.1
	"Santa Clara County, CA"	"06085"	87	1675312	5.2
	"Santa Cruz County, CA"	"06087"	21	251377	8.4
	"Shasta County, CA"	"06089"	40	175615	22.8
	"Solano County, CA"	"06095"	39	408181	9.6
	"Sonoma County, CA"	"06097"	59	465938	12.7
	"Stanislaus County, CA"	"06099"	72	500020	14.4
	"Tulare County, CA"	"06107"	36	407970	8.8
	"Tuolumne County, CA"	"06109"	10	56788	17.6 (Unreliable)
	"Ventura County, CA"	"06111"	67	794197	8.4
	"Yolo County, CA"	"06113"	11	186269	5.9 (Unreliable)
	"Adams County, CO"	"08001"	66	395146	16.7
	"Arapahoe County, CO"	"08005"	61	524466	11.6
	"Boulder County, CO"	"08013"	37	280241	13.2
	"Denver County, CO"	"08031"	140	551691	25.4
	"Douglas County, CO"	"08035"	12	243112	4.9 (Unreliable)
	"El Paso County, CO"	"08041"	84	565800	14.8
	"Fremont County, CO"	"08043"	15	46641	32.2 (Unreliable)
	"Jefferson County, CO"	"08059"	44	519675	8.5
	"Larimer County, CO"	"08069"	26	275116	9.5
	"Mesa County, CO"	"08077"	15	130194	11.5 (Unreliable)
	"Pueblo County, CO"	"08101"	24	149825	16.0
	"Fairfield County, CT"	"09001"	57	897653	6.3
	"Hartford County, CT"	"09003"	83	878081	9.5
	"Litchfield County, CT"	"09005"	13	188912	6.9 (Unreliable)
	"Middlesex County, CT"	"09007"	10	162191	6.2 (Unreliable)
	"New Haven County, CT"	"09009"	98	847162	11.6
	"New London County, CT"	"09011"	21	269664	7.8
