"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	28	172404	16.2
	"Calhoun County, AL"	"01015"	13	116211	11.2 (Unreliable)
	"DeKalb County, AL"	"01049"	11	69450	15.8 (Unreliable)
	"Etowah County, AL"	"01055"	13	103893	12.5 (Unreliable)
	"Houston County, AL"	"01069"	10	97727	10.2 (Unreliable)
	"Jefferson County, AL"	"01073"	80	655163	12.2
	"Lauderdale County, AL"	"01077"	18	91107	19.8 (Unreliable)
	"Madison County, AL"	"01089"	14	315859	4.4 (Unreliable)
	"Mobile County, AL"	"01097"	62	405715	15.3
	"Montgomery County, AL"	"01101"	11	227888	4.8 (Unreliable)
	"Morgan County, AL"	"01103"	18	116397	15.5 (Unreliable)
	"St. Clair County, AL"	"01115"	11	79348	13.9 (Unreliable)
	"Shelby County, AL"	"01117"	29	183491	15.8
	"Tuscaloosa County, AL"	"01125"	31	184350	16.8
	"Walker County, AL"	"01127"	20	67695	29.5
	"Anchorage Borough, AK"	"02020"	44	278792	15.8
	"Matanuska-Susitna Borough, AK"	"02170"	10	81402	12.3 (Unreliable)
	"Cochise County, AZ"	"04003"	20	128206	15.6
	"Coconino County, AZ"	"04005"	10	130442	7.7 (Unreliable)
	"Gila County, AZ"	"04007"	11	53252	20.7 (Unreliable)
	"Maricopa County, AZ"	"04013"	575	3711954	15.5
	"Mohave County, AZ"	"04015"	26	199760	13.0
	"Navajo County, AZ"	"04017"	16	106927	15.0 (Unreliable)
	"Pima County, AZ"	"04019"	165	955869	17.3
	"Pinal County, AZ"	"04021"	40	306174	13.1
	"Yavapai County, AZ"	"04025"	36	208773	17.2
	"Yuma County, AZ"	"04027"	24	187357	12.8
	"Benton County, AR"	"05007"	19	203664	9.3 (Unreliable)
	"Crawford County, AR"	"05033"	14	60210	23.3 (Unreliable)
	"Faulkner County, AR"	"05045"	10	105637	9.5 (Unreliable)
	"Garland County, AR"	"05051"	22	94753	23.2
	"Pulaski County, AR"	"05119"	33	373403	8.8
	"Saline County, AR"	"05125"	10	100043	10.0 (Unreliable)
	"Sebastian County, AR"	"05131"	29	122946	23.6
	"Washington County, AR"	"05143"	16	194526	8.2 (Unreliable)
	"Alameda County, CA"	"06001"	190	1455715	13.1
	"Butte County, CA"	"06007"	65	217469	29.9
	"Contra Costa County, CA"	"06013"	101	1009152	10.0
	"El Dorado County, CA"	"06017"	34	177694	19.1
	"Fresno County, CA"	"06019"	95	895933	10.6
	"Humboldt County, CA"	"06023"	42	132001	31.8
	"Imperial County, CA"	"06025"	21	164596	12.8
	"Kern County, CA"	"06029"	119	803281	14.8
	"Kings County, CA"	"06031"	18	150420	12.0 (Unreliable)
	"Lake County, CA"	"06033"	20	64077	31.2
	"Lassen County, CA"	"06035"	11	35615	30.9 (Unreliable)
	"Los Angeles County, CA"	"06037"	755	9700359	7.8
	"Madera County, CA"	"06039"	12	146067	8.2 (Unreliable)
	"Marin County, CA"	"06041"	40	246248	16.2
	"Mendocino County, CA"	"06045"	21	87071	24.1
	"Merced County, CA"	"06047"	23	248540	9.3
	"Monterey County, CA"	"06053"	24	402376	6.0
	"Napa County, CA"	"06055"	13	132583	9.8 (Unreliable)
	"Nevada County, CA"	"06057"	17	97794	17.4 (Unreliable)
	"Orange County, CA"	"06059"	287	2931629	9.8
	"Placer County, CA"	"06061"	55	329023	16.7
	"Riverside County, CA"	"06065"	216	2075183	10.4
	"Sacramento County, CA"	"06067"	212	1381161	15.3
	"San Bernardino County, CA"	"06071"	69	1992161	3.5
	"San Diego County, CA"	"06073"	357	2975742	12.0
	"San Francisco County, CA"	"06075"	186	778673	23.9
	"San Joaquin County, CA"	"06077"	96	668080	14.4
	"San Luis Obispo County, CA"	"06079"	36	262770	13.7
	"San Mateo County, CA"	"06081"	63	693849	9.1
	"Santa Barbara County, CA"	"06083"	44	411243	10.7
	"Santa Clara County, CA"	"06085"	141	1712026	8.2
	"Santa Cruz County, CA"	"06087"	42	253304	16.6
	"Shasta County, CA"	"06089"	48	176548	27.2
	"Solano County, CA"	"06095"	36	408243	8.8
	"Sonoma County, CA"	"06097"	61	467356	13.1
	"Stanislaus County, CA"	"06099"	82	507834	16.1
	"Sutter County, CA"	"06101"	10	92959	10.8 (Unreliable)
	"Tulare County, CA"	"06107"	22	422140	5.2
	"Tuolumne County, CA"	"06109"	14	56339	24.8 (Unreliable)
	"Ventura County, CA"	"06111"	84	800027	10.5
	"Yolo County, CA"	"06113"	13	194339	6.7 (Unreliable)
	"Adams County, CO"	"08001"	75	415746	18.0
	"Arapahoe County, CO"	"08005"	95	542039	17.5
	"Boulder County, CO"	"08013"	47	287428	16.4
	"Denver County, CO"	"08031"	148	564395	26.2
	"Douglas County, CO"	"08035"	17	267177	6.4 (Unreliable)
	"El Paso County, CO"	"08041"	80	586783	13.6
	"Jefferson County, CO"	"08059"	76	524911	14.5
	"Larimer County, CO"	"08069"	36	286112	12.6
	"Mesa County, CO"	"08077"	22	139434	15.8
	"Pueblo County, CO"	"08101"	20	155121	12.9
	"Weld County, CO"	"08123"	26	237692	10.9
	"Fairfield County, CT"	"09001"	76	897498	8.5
	"Hartford County, CT"	"09003"	127	884548	14.4
	"Litchfield County, CT"	"09005"	27	189866	14.2
	"Middlesex County, CT"	"09007"	24	164129	14.6
	"New Haven County, CT"	"09009"	122	853598	14.3
	"New London County, CT"	"09011"	32	270669	11.8
	"Tolland County, CT"	"09013"	16	149718	10.7 (Unreliable)
	"Kent County, DE"	"10001"	13	153969	8.4 (Unreliable)
