"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Okaloosa County, FL"	"12091"	26	182506	14.2
	"Orange County, FL"	"12095"	99	1011681	9.8
	"Osceola County, FL"	"12097"	17	216541	7.9 (Unreliable)
	"Palm Beach County, FL"	"12099"	202	1252223	16.1
	"Pasco County, FL"	"12101"	84	401648	20.9
	"Pinellas County, FL"	"12103"	184	928305	19.8
	"Polk County, FL"	"12105"	64	527685	12.1
	"Putnam County, FL"	"12107"	10	72831	13.7 (Unreliable)
	"St. Johns County, FL"	"12109"	13	151717	8.6 (Unreliable)
	"St. Lucie County, FL"	"12111"	32	228548	14.0
	"Santa Rosa County, FL"	"12113"	23	137241	16.8
	"Sarasota County, FL"	"12115"	61	357751	17.1
	"Seminole County, FL"	"12117"	36	395230	9.1
	"Volusia County, FL"	"12127"	74	476845	15.5
	"Bartow County, GA"	"13015"	14	87834	15.9 (Unreliable)
	"Bibb County, GA"	"13021"	14	154159	9.1 (Unreliable)
	"Carroll County, GA"	"13045"	17	99774	17.0 (Unreliable)
	"Catoosa County, GA"	"13047"	14	58866	23.8 (Unreliable)
	"Chatham County, GA"	"13051"	23	240818	9.6
	"Cherokee County, GA"	"13057"	12	173105	6.9 (Unreliable)
	"Clarke County, GA"	"13059"	10	109752	9.1 (Unreliable)
	"Clayton County, GA"	"13063"	21	255322	8.2
	"Cobb County, GA"	"13067"	51	640346	8.0
	"Coweta County, GA"	"13077"	11	104089	10.6 (Unreliable)
	"DeKalb County, GA"	"13089"	34	666204	5.1
	"Douglas County, GA"	"13097"	10	107377	9.3 (Unreliable)
	"Fulton County, GA"	"13121"	71	809481	8.8
	"Gwinnett County, GA"	"13135"	30	687468	4.4
	"Hall County, GA"	"13139"	19	156385	12.1 (Unreliable)
	"Henry County, GA"	"13151"	10	159971	6.3 (Unreliable)
	"Jackson County, GA"	"13157"	14	48288	29.0 (Unreliable)
	"Paulding County, GA"	"13223"	12	106350	11.3 (Unreliable)
	"Richmond County, GA"	"13245"	17	196883	8.6 (Unreliable)
	"Spalding County, GA"	"13255"	11	60588	18.2 (Unreliable)
	"Whitfield County, GA"	"13313"	11	91842	12.0 (Unreliable)
	"Hawaii County, HI"	"15001"	14	162852	8.6 (Unreliable)
	"Honolulu County, HI"	"15003"	78	907997	8.6
	"Ada County, ID"	"16001"	28	334926	8.4
