"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	21	168121	12.5
	"Chilton County, AL"	"01021"	13	42318	30.7 (Unreliable)
	"Etowah County, AL"	"01055"	10	103528	9.7 (Unreliable)
	"Jefferson County, AL"	"01073"	65	655893	9.9
	"Mobile County, AL"	"01097"	39	402916	9.7
	"Montgomery County, AL"	"01101"	12	227291	5.3 (Unreliable)
	"Morgan County, AL"	"01103"	17	115491	14.7 (Unreliable)
	"St. Clair County, AL"	"01115"	10	75948	13.2 (Unreliable)
	"Shelby County, AL"	"01117"	18	178841	10.1 (Unreliable)
	"Talladega County, AL"	"01121"	10	81991	12.2 (Unreliable)
	"Tuscaloosa County, AL"	"01125"	24	181383	13.2
	"Walker County, AL"	"01127"	12	68234	17.6 (Unreliable)
	"Anchorage Borough, AK"	"02020"	29	280085	10.4
	"Matanuska-Susitna Borough, AK"	"02170"	13	78633	16.5 (Unreliable)
	"Cochise County, AZ"	"04003"	19	127241	14.9 (Unreliable)
	"Gila County, AZ"	"04007"	10	52541	19.0 (Unreliable)
	"Maricopa County, AZ"	"04013"	541	3642884	14.9
	"Mohave County, AZ"	"04015"	22	196168	11.2
	"Navajo County, AZ"	"04017"	14	105624	13.3 (Unreliable)
	"Pima County, AZ"	"04019"	190	940930	20.2
	"Pinal County, AZ"	"04021"	26	271328	9.6
	"Yavapai County, AZ"	"04025"	23	204082	11.3
	"Yuma County, AZ"	"04027"	13	183848	7.1 (Unreliable)
	"Benton County, AR"	"05007"	19	195569	9.7 (Unreliable)
	"Craighead County, AR"	"05031"	13	89725	14.5 (Unreliable)
	"Faulkner County, AR"	"05045"	11	102969	10.7 (Unreliable)
	"Garland County, AR"	"05051"	16	94077	17.0 (Unreliable)
	"Pulaski County, AR"	"05119"	38	371647	10.2
	"Saline County, AR"	"05125"	17	96661	17.6 (Unreliable)
	"Sebastian County, AR"	"05131"	20	121492	16.5
	"Washington County, AR"	"05143"	21	190314	11.0
	"Alameda County, CA"	"06001"	169	1444484	11.7
	"Amador County, CA"	"06005"	10	38353	26.1 (Unreliable)
	"Butte County, CA"	"06007"	69	216824	31.8
	"Contra Costa County, CA"	"06013"	74	1000834	7.4
	"El Dorado County, CA"	"06017"	35	176773	19.8
	"Fresno County, CA"	"06019"	99	883862	11.2
	"Humboldt County, CA"	"06023"	42	132093	31.8
	"Imperial County, CA"	"06025"	19	160505	11.8 (Unreliable)
	"Kern County, CA"	"06029"	118	784511	15.0
	"Lake County, CA"	"06033"	18	64202	28.0 (Unreliable)
	"Lassen County, CA"	"06035"	13	34605	37.6 (Unreliable)
	"Los Angeles County, CA"	"06037"	689	9737955	7.1
	"Madera County, CA"	"06039"	11	143622	7.7 (Unreliable)
	"Marin County, CA"	"06041"	31	244580	12.7
	"Mendocino County, CA"	"06045"	19	87345	21.8 (Unreliable)
	"Merced County, CA"	"06047"	11	245338	4.5 (Unreliable)
	"Monterey County, CA"	"06053"	41	401831	10.2
	"Nevada County, CA"	"06057"	13	97549	13.3 (Unreliable)
	"Orange County, CA"	"06059"	247	2932261	8.4
	"Placer County, CA"	"06061"	44	321934	13.7
	"Riverside County, CA"	"06065"	176	2012370	8.7
	"Sacramento County, CA"	"06067"	226	1369563	16.5
	"San Bernardino County, CA"	"06071"	97	1974140	4.9
	"San Diego County, CA"	"06073"	305	2947289	10.3
	"San Francisco County, CA"	"06075"	153	768650	19.9
	"San Joaquin County, CA"	"06077"	80	662812	12.1
	"San Luis Obispo County, CA"	"06079"	32	260498	12.3
	"San Mateo County, CA"	"06081"	48	690176	7.0
	"Santa Barbara County, CA"	"06083"	36	408085	8.8
	"Santa Clara County, CA"	"06085"	96	1691159	5.7
	"Santa Cruz County, CA"	"06087"	32	251616	12.7
	"Shasta County, CA"	"06089"	39	176166	22.1
	"Solano County, CA"	"06095"	36	408402	8.8
	"Sonoma County, CA"	"06097"	44	465188	9.5
	"Stanislaus County, CA"	"06099"	89	504651	17.6
	"Tehama County, CA"	"06103"	10	61587	16.2 (Unreliable)
