"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	26	182265	14.3
	"Blount County, AL"	"01009"	10	57322	17.4 (Unreliable)
	"Calhoun County, AL"	"01015"	21	118572	17.7
	"Chilton County, AL"	"01021"	11	43643	25.2 (Unreliable)
	"Escambia County, AL"	"01053"	10	38319	26.1 (Unreliable)
	"Etowah County, AL"	"01055"	12	104430	11.5 (Unreliable)
	"Houston County, AL"	"01069"	13	101547	12.8 (Unreliable)
	"Jefferson County, AL"	"01073"	60	658466	9.1
	"Lauderdale County, AL"	"01077"	11	92709	11.9 (Unreliable)
	"Limestone County, AL"	"01083"	14	82782	16.9 (Unreliable)
	"Madison County, AL"	"01089"	35	334811	10.5
	"Mobile County, AL"	"01097"	45	412992	10.9
	"Montgomery County, AL"	"01101"	18	229363	7.8 (Unreliable)
	"Morgan County, AL"	"01103"	18	119490	15.1 (Unreliable)
	"St. Clair County, AL"	"01115"	15	83593	17.9 (Unreliable)
	"Shelby County, AL"	"01117"	26	195085	13.3
	"Tuscaloosa County, AL"	"01125"	27	194656	13.9
	"Walker County, AL"	"01127"	34	67023	50.7
	"Anchorage Borough, AK"	"02020"	38	291826	13.0
	"Fairbanks North Star Borough, AK"	"02090"	10	97581	10.2 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	10	88995	11.2 (Unreliable)
	"Cochise County, AZ"	"04003"	24	131346	18.3
	"Coconino County, AZ"	"04005"	18	134421	13.4 (Unreliable)
	"Gila County, AZ"	"04007"	10	53597	18.7 (Unreliable)
	"Maricopa County, AZ"	"04013"	609	3817117	16.0
	"Mohave County, AZ"	"04015"	68	200186	34.0
	"Navajo County, AZ"	"04017"	19	107449	17.7 (Unreliable)
	"Pima County, AZ"	"04019"	205	980263	20.9
	"Pinal County, AZ"	"04021"	51	375770	13.6
	"Yavapai County, AZ"	"04025"	46	211033	21.8
	"Yuma County, AZ"	"04027"	23	195751	11.7
	"Benton County, AR"	"05007"	31	221339	14.0
	"Craighead County, AR"	"05031"	13	96443	13.5 (Unreliable)
	"Crawford County, AR"	"05033"	13	61948	21.0 (Unreliable)
	"Faulkner County, AR"	"05045"	16	113237	14.1 (Unreliable)
	"Garland County, AR"	"05051"	28	96024	29.2
	"Lonoke County, AR"	"05085"	16	68356	23.4 (Unreliable)
	"Pope County, AR"	"05115"	10	61754	16.2 (Unreliable)
	"Pulaski County, AR"	"05119"	55	382748	14.4
	"Sebastian County, AR"	"05131"	14	125744	11.1 (Unreliable)
	"Washington County, AR"	"05143"	14	203065	6.9 (Unreliable)
	"Alameda County, CA"	"06001"	132	1510271	8.7
	"Amador County, CA"	"06005"	11	38091	28.9 (Unreliable)
	"Butte County, CA"	"06007"	85	220000	38.6
	"Calaveras County, CA"	"06009"	12	45578	26.3 (Unreliable)
	"Contra Costa County, CA"	"06013"	93	1049025	8.9
	"El Dorado County, CA"	"06017"	43	181058	23.7
	"Fresno County, CA"	"06019"	104	930450	11.2
	"Humboldt County, CA"	"06023"	48	134623	35.7
	"Imperial County, CA"	"06025"	10	174528	5.7 (Unreliable)
	"Kern County, CA"	"06029"	140	839631	16.7
	"Kings County, CA"	"06031"	14	152982	9.2 (Unreliable)
