Alabama,1,607,4718206,12.9
Alaska,2,127,687455,18.5
Arizona,4,828,6280362,13.2
Arkansas,5,360,2874554,12.5
California,6,3863,36604337,10.6
Colorado,8,749,4889730,15.3
Connecticut,9,386,3545579,10.9
Delaware,10,124,883874,14
District of Columbia,11,56,580236,9.7
Florida,12,2963,18527305,16
Georgia,13,935,9504843,9.8
Hawaii,15,123,1332213,9.2
Idaho,16,146,1534320,9.5
Illinois,17,1353,12747038,10.6
Indiana,18,830,6424806,12.9
Iowa,19,209,3016734,6.9
Kansas,20,219,2808076,7.8
Kentucky,21,764,4289878,17.8
Louisiana,22,647,4435586,14.6
Maine,23,162,1330509,12.2
Maryland,24,693,5684965,12.2
Massachusetts,25,786,6468967,12.2
Michigan,26,1239,9946889,12.5
Minnesota,27,384,5247018,7.3
Mississippi,28,303,2947806,10.3
Missouri,29,765,5923916,12.9
Montana,30,134,976415,13.7
Nebraska,31,94,1796378,5.2
Nevada,32,519,2653630,19.6
New Hampshire,33,126,1315906,9.6
New Jersey,34,702,8711090,8.1
New Mexico,35,518,2010662,25.8
New York,36,1691,19212436,8.8
North Carolina,37,1196,9309449,12.8
North Dakota,38,46,657569,7
Ohio,39,1733,11515391,15
Oklahoma,40,564,3668976,15.4
Oregon,41,452,3768748,12
Pennsylvania,42,1850,12612285,14.7
Rhode Island,44,185,1055003,17.5
South Carolina,45,565,4528996,12.5
South Dakota,46,54,799124,6.8
Tennessee,47,938,6247411,15
Texas,48,2053,24309039,8.4
Utah,49,468,2663029,17.6
Vermont,50,73,624151,11.7
Virginia,51,718,7833496,9.2
Washington,53,1011,6562231,15.4
West Virginia,54,459,1840310,24.9
Wisconsin,55,606,5640996,10.7
Wyoming,56,74,546043,13.6
,,36450,304093966,12
