Alabama,1,756,4863300,15.5
Alaska,2,128,741894,17.3
Arizona,4,1382,6931071,19.9
Arkansas,5,401,2988248,13.4
California,6,4654,39250017,11.9
Colorado,8,942,5540545,17
Connecticut,9,971,3576452,27.1
Delaware,10,282,952065,29.6
District of Columbia,11,269,681170,39.5
Florida,12,4728,20612439,22.9
Georgia,13,1394,10310371,13.5
Hawaii,15,191,1428557,13.4
Idaho,16,243,1683140,14.4
Illinois,17,2411,12801539,18.8
Indiana,18,1526,6633053,23
Iowa,19,314,3134693,10
Kansas,20,313,2907289,10.8
Kentucky,21,1419,4436974,32
Louisiana,22,996,4681666,21.3
Maine,23,353,1331479,26.5
Maryland,24,2044,6016447,34
Massachusetts,25,2227,6811779,32.7
Michigan,26,2347,9928300,23.6
Minnesota,27,672,5519952,12.2
Mississippi,28,352,2988726,11.8
Missouri,29,1371,6093000,22.5
Montana,30,119,1042520,11.4
Nebraska,31,120,1907116,6.3
Nevada,32,665,2940058,22.6
New Hampshire,33,481,1334795,36
New Jersey,34,2056,8944469,23
New Mexico,35,500,2081015,24
New York,36,3638,19745289,18.4
North Carolina,37,1956,10146788,19.3
North Dakota,38,77,757952,10.2
Ohio,39,4329,11614373,37.3
Oklahoma,40,813,3923561,20.7
Oregon,41,506,4093465,12.4
Pennsylvania,42,4627,12784227,36.2
Rhode Island,44,326,1056426,30.9
South Carolina,45,879,4961119,17.7
South Dakota,46,69,865454,8
Tennessee,47,1630,6651194,24.5
Texas,48,2831,27862596,10.2
Utah,49,635,3051217,20.8
Vermont,50,125,624594,20
Virginia,51,1405,8411808,16.7
Washington,53,1102,7288000,15.1
West Virginia,54,884,1831102,48.3
Wisconsin,55,1074,5778708,18.6
Wyoming,56,99,585501,16.9
,,63632,323127513,19.7
