Alabama,1,398,4628981,8.6
Alaska,2,76,675302,11.3
Arizona,4,876,6029141,14.5
Arkansas,5,285,2821761,10.1
California,6,3494,36021202,9.7
Colorado,8,627,4720423,13.3
Connecticut,9,407,3517460,11.6
Delaware,10,78,859268,9.1
District of Columbia,11,101,570681,17.7
Florida,12,2591,18166990,14.3
Georgia,13,830,9155813,9.1
Hawaii,15,86,1309731,6.6
Idaho,16,130,1468669,8.9
Illinois,17,1369,12643955,10.8
Indiana,18,736,6332669,11.6
Iowa,19,187,2982644,6.3
Kansas,20,257,2762931,9.3
Kentucky,21,728,4219239,17.3
Louisiana,22,705,4302665,16.4
Maine,23,159,1323619,12
Maryland,24,762,5627367,13.5
Massachusetts,25,970,6410084,15.1
Michigan,26,1176,10036081,11.7
Minnesota,27,311,5163555,6
Mississippi,28,339,2904978,11.7
Missouri,29,743,5842704,12.7
Montana,30,97,952692,10.2
Nebraska,31,91,1772693,5.1
Nevada,32,461,2522658,18.3
New Hampshire,33,149,1308389,11.4
New Jersey,34,847,8661679,9.8
New Mexico,35,418,1962137,21.3
New York,36,1680,19104631,8.8
North Carolina,37,1059,8917270,11.9
North Dakota,38,14,649422,2.2
Ohio,39,1515,11481213,13.2
Oklahoma,40,563,3594090,15.7
Oregon,41,485,3670883,13.2
Pennsylvania,42,1638,12510809,13.1
Rhode Island,44,175,1063096,16.5
South Carolina,45,554,4357847,12.7
South Dakota,46,37,783033,4.7
Tennessee,47,975,6088766,16
Texas,48,2191,23359580,9.4
Utah,49,444,2525507,17.6
Vermont,50,75,622892,12
Virginia,51,629,7673725,8.2
Washington,53,897,6370753,14.1
West Virginia,54,362,1827912,19.8
Wisconsin,55,593,5577655,10.6
Wyoming,56,55,522667,10.5
