Alabama,1,547,4779736,11.4
Alaska,2,83,710231,11.7
Arizona,4,1098,6392017,17.2
Arkansas,5,350,2915918,12
California,6,4057,37253956,10.9
Colorado,8,654,5029196,13
Connecticut,9,363,3574097,10.2
Delaware,10,145,897934,16.1
District of Columbia,11,78,601723,13
Florida,12,3061,18801310,16.3
Georgia,13,1054,9687653,10.9
Hawaii,15,151,1360301,11.1
Idaho,16,178,1567582,11.4
Illinois,17,1288,12830632,10
Indiana,18,927,6483802,14.3
Iowa,19,253,3046355,8.3
Kansas,20,269,2853118,9.4
Kentucky,21,1007,4339367,23.2
Louisiana,22,591,4533372,13
Maine,23,135,1328361,10.2
Maryland,24,650,5773552,11.3
Massachusetts,25,738,6547629,11.3
Michigan,26,1394,9883640,14.1
Minnesota,27,397,5303925,7.5
Mississippi,28,334,2967297,11.3
Missouri,29,998,5988927,16.7
Montana,30,118,989415,11.9
Nebraska,31,117,1826341,6.4
Nevada,32,578,2700551,21.4
New Hampshire,33,160,1316470,12.2
New Jersey,34,868,8791894,9.9
New Mexico,35,478,2059179,23.2
New York,36,1557,19378102,8
North Carolina,37,1093,9535483,11.5
North Dakota,38,23,672591,3.4
Ohio,39,1835,11536504,15.9
Oklahoma,40,717,3751351,19.1
Oregon,41,503,3831074,13.1
Pennsylvania,42,1916,12702379,15.1
Rhode Island,44,167,1052567,15.9
South Carolina,45,678,4625364,14.7
South Dakota,46,45,814180,5.5
Tennessee,47,1080,6346105,17
Texas,48,2399,25145561,9.5
Utah,49,433,2763885,15.7
Vermont,50,63,625741,10.1
Virginia,51,558,8001024,7
Washington,53,916,6724540,13.6
West Virginia,54,512,1852994,27.6
Wisconsin,55,630,5686986,11.1
Wyoming,56,85,563626,15.1
