Alabama,1,723,4843214,14.9
Alaska,2,124,736705,16.8
Arizona,4,1211,6719993,18
Arkansas,5,356,2966912,12
California,6,4521,38680810,11.7
Colorado,8,899,5349648,16.8
Connecticut,9,623,3591873,17.3
Delaware,10,189,934948,20.2
District of Columbia,11,96,659005,14.6
Florida,12,2634,19888741,13.2
Georgia,13,1206,10087231,12
Hawaii,15,157,1416349,11.1
Idaho,16,212,1633532,13
Illinois,17,1705,12867544,13.3
Indiana,18,1172,6595233,17.8
Iowa,19,264,3108030,8.5
Kansas,20,332,2899360,11.5
Kentucky,21,1077,4413057,24.4
Louisiana,22,777,4647880,16.7
Maine,23,216,1330719,16.2
Maryland,24,1070,5967295,17.9
Massachusetts,25,1289,6749911,19.1
Michigan,26,1762,9915767,17.8
Minnesota,27,517,5453109,9.5
Mississippi,28,336,2992400,11.2
Missouri,29,1067,6060930,17.6
Montana,30,125,1022867,12.2
Nebraska,31,125,1881145,6.6
Nevada,32,545,2833013,19.2
New Hampshire,33,334,1328743,25.1
New Jersey,34,1253,8925001,14
New Mexico,35,547,2083024,26.3
New York,36,2300,19718515,11.7
North Carolina,37,1358,9934399,13.7
North Dakota,38,43,739904,5.8
Ohio,39,2744,11594408,23.7
Oklahoma,40,777,3877499,20
Oregon,41,522,3968371,13.2
Pennsylvania,42,2732,12790565,21.4
Rhode Island,44,247,1054480,23.4
South Carolina,45,701,4828430,14.5
South Dakota,46,63,852561,7.4
Tennessee,47,1269,6544663,19.4
Texas,48,2601,26944751,9.7
Utah,49,603,2941836,20.5
Vermont,50,83,626984,13.2
Virginia,51,980,8317372,11.8
Washington,53,979,7054196,13.9
West Virginia,54,627,1848514,33.9
Wisconsin,55,853,5758377,14.8
Wyoming,56,109,583642,18.7
,,47055,318563456,14.8
