Alabama,1,630,4757938,13.2
Alaska,2,131,698895,18.7
Arizona,4,1002,6343154,15.8
Arkansas,5,351,2896843,12.1
California,6,4056,36961229,11
Colorado,8,769,4972195,15.5
Connecticut,9,393,3561807,11
Delaware,10,136,891730,15.3
District of Columbia,11,26,592228,4.4
Florida,12,3092,18652644,16.6
Georgia,13,1007,9620846,10.5
Hawaii,15,136,1346717,10.1
Idaho,16,171,1554439,11
Illinois,17,1381,12796778,10.8
Indiana,18,896,6459325,13.9
Iowa,19,207,3032870,6.8
Kansas,20,304,2832704,10.7
Kentucky,21,769,4317074,17.8
Louisiana,22,584,4491648,13
Maine,23,173,1329590,13
Maryland,24,743,5730388,13
Massachusetts,25,816,6517613,12.5
Michigan,26,1429,9901591,14.4
Minnesota,27,419,5281203,7.9
Mississippi,28,323,2958774,10.9
Missouri,29,863,5961088,14.5
Montana,30,142,983982,14.4
Nebraska,31,106,1812683,5.8
Nevada,32,550,2684665,20.5
New Hampshire,33,168,1316102,12.8
New Jersey,34,263,8755602,3
New Mexico,35,438,2036802,21.5
New York,36,1592,19307066,8.2
North Carolina,37,1191,9449566,12.6
North Dakota,38,27,664968,4.1
Ohio,39,1236,11528896,10.7
Oklahoma,40,756,3717572,20.3
Oregon,41,501,3808600,13.2
Pennsylvania,42,1909,12666858,15.1
Rhode Island,44,161,1053646,15.3
South Carolina,45,615,4589872,13.4
South Dakota,46,49,807067,6.1
Tennessee,47,962,6306019,15.3
Texas,48,2409,24801761,9.7
Utah,49,478,2723421,17.6
Vermont,50,55,624817,8.8
Virginia,51,685,7925937,8.6
Washington,53,987,6667426,14.8
West Virginia,54,226,1847775,12.2
Wisconsin,55,631,5669264,11.1
Wyoming,56,60,559851,10.7
,,37004,306771529,12.1
