Alabama,1,511,4672840,10.9
Alaska,2,72,680300,10.6
Arizona,4,943,6167681,15.3
Arkansas,5,301,2848650,10.6
California,6,3854,36250311,10.6
Colorado,8,734,4803868,15.3
Connecticut,9,433,3527270,12.3
Delaware,10,97,871749,11.1
District of Columbia,11,61,574404,10.6
Florida,12,2794,18367842,15.2
Georgia,13,923,9349988,9.9
Hawaii,15,136,1315675,10.3
Idaho,16,126,1505105,8.4
Illinois,17,1192,12695866,9.4
Indiana,18,781,6379599,12.2
Iowa,19,203,2999212,6.8
Kansas,20,270,2783785,9.7
Kentucky,21,708,4256672,16.6
Louisiana,22,808,4375581,18.5
Maine,23,159,1327040,12
Maryland,24,769,5653408,13.6
Massachusetts,25,922,6431559,14.3
Michigan,26,1236,10001284,12.4
Minnesota,27,341,5207203,6.5
Mississippi,28,314,2928350,10.7
Missouri,29,714,5887612,12.1
Montana,30,125,964706,13
Nebraska,31,80,1783440,4.5
Nevada,32,499,2601072,19.2
New Hampshire,33,186,1312540,14.2
New Jersey,34,727,8677885,8.4
New Mexico,35,462,1990070,23.2
New York,36,1708,19132335,8.9
North Carolina,37,1084,9118037,11.9
North Dakota,38,32,652822,4.9
Ohio,39,1592,11500468,13.8
Oklahoma,40,666,3634349,18.3
Oregon,41,502,3722417,13.5
Pennsylvania,42,1733,12563937,13.8
Rhode Island,44,135,1057315,12.8
South Carolina,45,545,4444110,12.3
South Dakota,46,32,791623,4
Tennessee,47,985,6175727,15.9
Texas,48,2194,23831983,9.2
Utah,49,511,2597746,19.7
Vermont,50,66,623481,10.6
Virginia,51,700,7751000,9
Washington,53,962,6461587,14.9
West Virginia,54,397,1834052,21.6
Wisconsin,55,622,5610775,11.1
Wyoming,56,63,534876,11.8
