Alabama,1,552,4799918,11.5
Alaska,2,107,722713,14.8
Arizona,4,1071,6467163,16.6
Arkansas,5,355,2939493,12.1
California,6,4180,37676861,11.1
Colorado,8,843,5118360,16.5
Connecticut,9,402,3589893,11.2
Delaware,10,160,907924,17.6
District of Columbia,11,86,620477,13.9
Florida,12,2918,19096952,15.3
Georgia,13,1058,9811610,10.8
Hawaii,15,180,1377864,13.1
Idaho,16,193,1584143,12.2
Illinois,17,1408,12860012,10.9
Indiana,18,975,6516480,15
Iowa,19,250,3065223,8.2
Kansas,20,280,2869503,9.8
Kentucky,21,1058,4369354,24.2
Louisiana,22,601,4575404,13.1
Maine,23,156,1328231,11.7
Maryland,24,707,5843603,12.1
Massachusetts,25,857,6611923,13
Michigan,26,1386,9876213,14
Minnesota,27,511,5348562,9.6
Mississippi,28,302,2978162,10.1
Missouri,29,963,6010717,16
Montana,30,141,997821,14.1
Nebraska,31,129,1842283,7
Nevada,32,639,2718379,23.5
New Hampshire,33,210,1318473,15.9
New Jersey,34,1012,8841243,11.4
New Mexico,35,529,2077756,25.5
New York,36,1948,19519529,10
North Carolina,37,1264,9650963,13.1
North Dakota,38,16,685476,2.3 (Unreliable)
Ohio,39,2025,11544824,17.5
Oklahoma,40,703,3786274,18.6
Oregon,41,532,3868031,13.8
Pennsylvania,42,2289,12744293,18
Rhode Island,44,190,1052451,18.1
South Carolina,45,618,4672637,13.2
South Dakota,46,57,824398,6.9
Tennessee,47,1090,6397634,17
Texas,48,2589,25646389,10.1
Utah,49,504,2816124,17.9
Vermont,50,83,626730,13.2
Virginia,51,798,8110035,9.8
Washington,53,997,6822520,14.6
West Virginia,54,635,1854972,34.2
Wisconsin,55,698,5709640,12.2
Wyoming,56,85,567725,15
,,41340,311663358,13.3
