"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	32	208563	15.3
	"Blount County, AL"	"01009"	14	57704	24.3 (Unreliable)
	"Calhoun County, AL"	"01015"	15	114611	13.1 (Unreliable)
	"Cullman County, AL"	"01043"	19	82471	23.0 (Unreliable)
	"DeKalb County, AL"	"01049"	18	70900	25.4 (Unreliable)
	"Etowah County, AL"	"01055"	15	102564	14.6 (Unreliable)
	"Jefferson County, AL"	"01073"	200	659521	30.3
	"Lauderdale County, AL"	"01077"	11	92318	11.9 (Unreliable)
	"Madison County, AL"	"01089"	61	356967	17.1
	"Marshall County, AL"	"01095"	13	95157	13.7 (Unreliable)
	"Mobile County, AL"	"01097"	64	414836	15.4
	"Montgomery County, AL"	"01101"	16	226349	7.1 (Unreliable)
	"Morgan County, AL"	"01103"	12	119012	10.1 (Unreliable)
	"St. Clair County, AL"	"01115"	29	88019	32.9
	"Shelby County, AL"	"01117"	45	210622	21.4
	"Tallapoosa County, AL"	"01123"	10	40727	24.6 (Unreliable)
	"Tuscaloosa County, AL"	"01125"	30	206102	14.6
	"Walker County, AL"	"01127"	12	64967	18.5 (Unreliable)
	"Anchorage Borough, AK"	"02020"	52	298192	17.4
	"Fairbanks North Star Borough, AK"	"02090"	14	100605	13.9 (Unreliable)
	"Kenai Peninsula Borough, AK"	"02122"	15	58506	25.6 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	23	104365	22.0
	"Cochise County, AZ"	"04003"	26	125770	20.7
	"Coconino County, AZ"	"04005"	18	140908	12.8 (Unreliable)
	"Gila County, AZ"	"04007"	22	53556	41.1
	"Maricopa County, AZ"	"04013"	797	4242997	18.8
	"Mohave County, AZ"	"04015"	56	205249	27.3
	"Navajo County, AZ"	"04017"	33	110026	30.0
	"Pima County, AZ"	"04019"	240	1016206	23.6
	"Pinal County, AZ"	"04021"	58	418540	13.9
	"Yavapai County, AZ"	"04025"	68	225562	30.1
	"Yuma County, AZ"	"04027"	40	205631	19.5
	"Benton County, AR"	"05007"	39	258291	15.1
	"Crawford County, AR"	"05033"	10	62267	16.1 (Unreliable)
