"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	34	190403	17.9
	"Blount County, AL"	"01009"	17	57772	29.4 (Unreliable)
	"Cullman County, AL"	"01043"	12	80351	14.9 (Unreliable)
	"DeKalb County, AL"	"01049"	16	70961	22.5 (Unreliable)
	"Houston County, AL"	"01069"	10	103382	9.7 (Unreliable)
	"Jackson County, AL"	"01071"	13	53087	24.5 (Unreliable)
	"Jefferson County, AL"	"01073"	72	657639	10.9
	"Lee County, AL"	"01081"	10	148289	6.7 (Unreliable)
	"Madison County, AL"	"01089"	28	342773	8.2
	"Marshall County, AL"	"01095"	14	94182	14.9 (Unreliable)
	"Mobile County, AL"	"01097"	59	413760	14.3
	"Montgomery County, AL"	"01101"	17	228708	7.4 (Unreliable)
	"Morgan County, AL"	"01103"	20	120123	16.6
	"St. Clair County, AL"	"01115"	10	85168	11.7 (Unreliable)
	"Shelby County, AL"	"01117"	38	200789	18.9
	"Talladega County, AL"	"01121"	10	81941	12.2 (Unreliable)
	"Tuscaloosa County, AL"	"01125"	31	198581	15.6
	"Walker County, AL"	"01127"	23	66211	34.7
	"Anchorage Borough, AK"	"02020"	62	298527	20.8
	"Fairbanks North Star Borough, AK"	"02090"	10	100330	10.0 (Unreliable)
	"Kenai Peninsula Borough, AK"	"02122"	12	56952	21.1 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	24	93791	25.6
	"Cochise County, AZ"	"04003"	24	131843	18.2
	"Coconino County, AZ"	"04005"	11	135999	8.1 (Unreliable)
	"Gila County, AZ"	"04007"	11	53036	20.7 (Unreliable)
	"Maricopa County, AZ"	"04013"	630	3942959	16.0
	"Mohave County, AZ"	"04015"	66	203126	32.5
	"Navajo County, AZ"	"04017"	20	107037	18.7
	"Pima County, AZ"	"04019"	214	992490	21.6
	"Pinal County, AZ"	"04021"	45	382259	11.8
	"Yavapai County, AZ"	"04025"	66	212350	31.1
	"Yuma County, AZ"	"04027"	33	202160	16.3
	"Benton County, AR"	"05007"	30	234243	12.8
	"Craighead County, AR"	"05031"	10	99948	10.0 (Unreliable)
	"Faulkner County, AR"	"05045"	15	118534	12.7 (Unreliable)
	"Garland County, AR"	"05051"	24	96794	24.8
	"Pulaski County, AR"	"05119"	47	388905	12.1
	"Saline County, AR"	"05125"	17	111758	15.2 (Unreliable)
	"Sebastian County, AR"	"05131"	29	127418	22.8
	"Washington County, AR"	"05143"	16	211497	7.6 (Unreliable)
	"Alameda County, CA"	"06001"	134	1555542	8.6
	"Amador County, CA"	"06005"	10	37089	27.0 (Unreliable)
	"Butte County, CA"	"06007"	71	221180	32.1
	"Contra Costa County, CA"	"06013"	123	1078242	11.4
	"El Dorado County, CA"	"06017"	35	180558	19.4
	"Fresno County, CA"	"06019"	79	946844	8.3
	"Humboldt County, CA"	"06023"	48	134663	35.6
	"Imperial County, CA"	"06025"	20	177287	11.3
	"Kern County, CA"	"06029"	159	855808	18.6
	"Lake County, CA"	"06033"	23	63942	36.0
	"Los Angeles County, CA"	"06037"	682	9953555	6.9
	"Madera County, CA"	"06039"	25	151947	16.5
	"Marin County, CA"	"06041"	37	256064	14.4
	"Merced County, CA"	"06047"	37	261430	14.2
	"Monterey County, CA"	"06053"	43	425799	10.1
	"Napa County, CA"	"06055"	16	138898	11.5 (Unreliable)
	"Nevada County, CA"	"06057"	25	98305	25.4
	"Orange County, CA"	"06059"	320	3084935	10.4
	"Placer County, CA"	"06061"	38	361018	10.5
	"Riverside County, CA"	"06065"	286	2264919	12.6
	"Sacramento County, CA"	"06067"	206	1447236	14.2
	"San Bernardino County, CA"	"06071"	127	2077247	6.1
	"San Diego County, CA"	"06073"	424	3181513	13.3
	"San Francisco County, CA"	"06075"	136	828816	16.4
	"San Joaquin County, CA"	"06077"	105	700611	15.0
