"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"DeKalb County, GA"	"13089"	44	669789	6.6
	"Floyd County, GA"	"13115"	11	92597	11.9 (Unreliable)
	"Fulton County, GA"	"13121"	60	815224	7.4
	"Gwinnett County, GA"	"13135"	26	641986	4.0
	"Hall County, GA"	"13139"	10	150229	6.7 (Unreliable)
	"Haralson County, GA"	"13143"	10	26676	37.5 (Unreliable)
	"Henry County, GA"	"13151"	10	140747	7.1 (Unreliable)
	"Muscogee County, GA"	"13215"	11	185139	5.9 (Unreliable)
	"Richmond County, GA"	"13245"	18	198670	9.1 (Unreliable)
	"Hawaii County, HI"	"15001"	12	154576	7.8 (Unreliable)
	"Honolulu County, HI"	"15003"	60	890473	6.7
	"Ada County, ID"	"16001"	37	321616	11.5
	"Bannock County, ID"	"16005"	11	76487	14.4 (Unreliable)
	"Bonneville County, ID"	"16019"	18	85060	21.2 (Unreliable)
	"Kootenai County, ID"	"16055"	10	113667	8.8 (Unreliable)
	"Champaign County, IL"	"17019"	10	184198	5.4 (Unreliable)
	"Cook County, IL"	"17031"	518	5328775	9.7
	"DuPage County, IL"	"17043"	59	913880	6.5
	"Kane County, IL"	"17089"	31	440437	7.0
	"Kankakee County, IL"	"17091"	10	104932	9.5 (Unreliable)
	"Lake County, IL"	"17097"	48	668022	7.2
	"McHenry County, IL"	"17111"	16	274441	5.8 (Unreliable)
	"McLean County, IL"	"17113"	12	155882	7.7 (Unreliable)
	"Madison County, IL"	"17119"	24	261130	9.2
	"Peoria County, IL"	"17143"	13	182685	7.1 (Unreliable)
	"St. Clair County, IL"	"17163"	16	257952	6.2 (Unreliable)
	"Sangamon County, IL"	"17167"	14	190756	7.3 (Unreliable)
	"Tazewell County, IL"	"17179"	10	128722	7.8 (Unreliable)
	"Will County, IL"	"17197"	36	553714	6.5
	"Winnebago County, IL"	"17201"	22	281162	7.8
	"Madison County, IN"	"18095"	14	132433	10.6 (Unreliable)
	"Marion County, IN"	"18097"	66	866210	7.6
	"St. Joseph County, IN"	"18141"	11	265090	4.1 (Unreliable)
	"Vanderburgh County, IN"	"18163"	10	173067	5.8 (Unreliable)
	"Linn County, IA"	"19113"	10	195987	5.1 (Unreliable)
	"Polk County, IA"	"19153"	15	384355	3.9 (Unreliable)
	"Johnson County, KS"	"20091"	27	475239	5.7
	"Leavenworth County, KS"	"20103"	10	70793	14.1 (Unreliable)
	"Sedgwick County, KS"	"20173"	35	461020	7.6
	"Shawnee County, KS"	"20177"	27	170349	15.8
	"Wyandotte County, KS"	"20209"	12	157498	7.6 (Unreliable)
	"Bell County, KY"	"21013"	10	29691	33.7 (Unreliable)
	"Boone County, KY"	"21015"	10	93323	10.7 (Unreliable)
	"Campbell County, KY"	"21037"	15	88596	16.9 (Unreliable)
	"Fayette County, KY"	"21067"	22	265822	8.3
	"Floyd County, KY"	"21071"	11	41671	26.4 (Unreliable)
	"Jefferson County, KY"	"21111"	58	699810	8.3
	"Kenton County, KY"	"21117"	22	151777	14.5
	"McCracken County, KY"	"21145"	11	64588	17.0 (Unreliable)
	"Perry County, KY"	"21193"	11	29180	37.7 (Unreliable)
	"Pike County, KY"	"21195"	10	67438	14.8 (Unreliable)
	"Pulaski County, KY"	"21199"	11	57545	19.1 (Unreliable)
	"Caddo Parish, LA"	"22017"	21	248753	8.4
	"Calcasieu Parish, LA"	"22019"	15	183487	8.2 (Unreliable)
	"East Baton Rouge Parish, LA"	"22033"	13	411024	3.2 (Unreliable)
	"Jefferson Parish, LA"	"22051"	94	453429	20.7
	"Lafayette Parish, LA"	"22055"	17	194565	8.7 (Unreliable)
	"Livingston Parish, LA"	"22063"	11	99007	11.1 (Unreliable)
	"Orleans Parish, LA"	"22071"	14	489722	2.9 (Unreliable)
	"Ouachita Parish, LA"	"22073"	10	147728	6.8 (Unreliable)
	"St. Bernard Parish, LA"	"22087"	22	68964	31.9
	"St. Tammany Parish, LA"	"22103"	24	200701	12.0
	"Cumberland County, ME"	"23005"	51	270533	18.9
	"Kennebec County, ME"	"23011"	14	118611	11.8 (Unreliable)
	"Penobscot County, ME"	"23019"	13	147298	8.8 (Unreliable)
	"York County, ME"	"23031"	20	194100	10.3
	"Anne Arundel County, MD"	"24003"	61	504884	12.1
	"Baltimore County, MD"	"24005"	145	770147	18.8
	"Carroll County, MD"	"24013"	20	157930	12.7
	"Cecil County, MD"	"24015"	14	90061	15.5 (Unreliable)
	"Charles County, MD"	"24017"	13	128079	10.1 (Unreliable)
	"Frederick County, MD"	"24021"	13	209194	6.2 (Unreliable)
	"Harford County, MD"	"24025"	29	227369	12.8
	"Howard County, MD"	"24027"	14	259532	5.4 (Unreliable)
	"Montgomery County, MD"	"24031"	26	903140	2.9
	"Prince George's County, MD"	"24033"	48	828893	5.8
	"Wicomico County, MD"	"24045"	11	86679	12.7 (Unreliable)
	"Baltimore city, MD"	"24510"	284	634115	44.8
	"Barnstable County, MA"	"25001"	29	225421	12.9
	"Bristol County, MA"	"25005"	91	542721	16.8
	"Essex County, MA"	"25009"	71	732232	9.7
	"Hampden County, MA"	"25013"	44	458780	9.6
	"Middlesex County, MA"	"25017"	134	1468488	9.1
	"Norfolk County, MA"	"25021"	51	653860	7.8
	"Plymouth County, MA"	"25023"	56	482092	11.6
